Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
birmingham new street,london st pancras,adult,advance,8 days,15,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,25 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,17 days,3,standard
london euston,birmingham new street,no railcard,advance,23 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,7,first class
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,manchester piccadilly,disabled,advance,16 days,2,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,advance,9 days,8,standard
london st pancras,birmingham new street,no railcard,advance,8 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,nottingham,no railcard,advance,18 days,12,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,liverpool lime street,adult,off-peak,0 days,65,standard
london euston,birmingham new street,no railcard,advance,18 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,birmingham new street,no railcard,advance,2 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,senior,advance,2 days,2,standard
london euston,birmingham new street,no railcard,advance,5 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,advance,6 days,8,standard
london paddington,reading,disabled,advance,24 days,8,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,reading,no railcard,advance,5 days,13,standard
birmingham new street,nuneaton,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
birmingham new street,london st pancras,disabled,off-peak,0 days,22,standard
birmingham new street,stafford,no railcard,off-peak,0 days,8,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,162,first class
manchester piccadilly,london euston,no railcard,advance,18 days,84,standard
manchester piccadilly,liverpool lime street,no railcard,advance,11 days,3,standard
york,doncaster,disabled,off-peak,0 days,5,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
birmingham new street,london st pancras,disabled,off-peak,0 days,22,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,25 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,24 days,10,first class
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,adult,advance,1 days,35,first class
birmingham new street,london st pancras,no railcard,off-peak,0 days,33,standard
london euston,birmingham new street,adult,advance,14 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,advance,15 days,3,standard
london kings cross,york,no railcard,off-peak,0 days,86,first class
reading,swindon,no railcard,off-peak,0 days,44,first class
london kings cross,york,no railcard,advance,13 days,35,standard
reading,swindon,no railcard,off-peak,0 days,14,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,advance,23 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,21 days,3,standard
london paddington,london waterloo,no railcard,off-peak,0 days,8,first class
london paddington,reading,no railcard,advance,9 days,13,standard
london paddington,london waterloo,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,8 days,35,standard
london st pancras,birmingham new street,no railcard,advance,15 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
liverpool lime street,manchester piccadilly,no railcard,advance,2 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,17 days,35,standard
london kings cross,york,no railcard,advance,1 days,57,first class
liverpool lime street,sheffield,adult,advance,19 days,6,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
london kings cross,york,no railcard,advance,16 days,35,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
london paddington,reading,disabled,advance,11 days,8,standard
london euston,birmingham new street,no railcard,advance,3 days,7,standard
london kings cross,york,no railcard,advance,16 days,35,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,advance,2 days,8,standard
london paddington,reading,adult,off-peak,0 days,13,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,advance,4 days,8,standard
london paddington,oxford,no railcard,off-peak,0 days,26,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,advance,15 days,3,standard
london st pancras,birmingham new street,senior,off-peak,0 days,8,standard
london kings cross,edinburgh waverley,disabled,off-peak,0 days,36,standard
manchester piccadilly,liverpool lime street,senior,advance,10 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,22 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,2 days,6,first class
york,peterborough,disabled,advance,1 days,31,first class
london paddington,reading,senior,advance,22 days,8,standard
manchester piccadilly,liverpool lime street,senior,advance,21 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,advance,1 days,57,first class
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london st pancras,wolverhampton,disabled,advance,24 days,21,standard
london euston,birmingham new street,no railcard,advance,12 days,7,standard
london st pancras,birmingham new street,no railcard,advance,10 days,8,standard
birmingham new street,london st pancras,disabled,advance,21 days,15,standard
birmingham new street,london st pancras,disabled,advance,16 days,15,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london euston,birmingham new street,no railcard,advance,2 days,7,standard
london kings cross,york,no railcard,advance,1 days,57,first class
birmingham new street,stafford,no railcard,advance,7 days,5,standard
london paddington,oxford,no railcard,advance,9 days,18,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,oxford,no railcard,advance,5 days,18,standard
liverpool lime street,manchester piccadilly,no railcard,advance,14 days,3,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,reading,no railcard,advance,22 days,13,standard
london paddington,oxford,no railcard,advance,16 days,18,standard
london paddington,oxford,no railcard,advance,10 days,18,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,2 days,13,standard
london kings cross,york,adult,advance,19 days,23,standard
london kings cross,york,no railcard,advance,21 days,35,standard
london kings cross,york,no railcard,advance,17 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,oxford,no railcard,advance,24 days,18,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,reading,no railcard,advance,22 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,adult,advance,22 days,2,standard
london paddington,reading,no railcard,advance,3 days,13,standard
london kings cross,york,no railcard,advance,25 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,17 days,7,standard
york,peterborough,no railcard,advance,12 days,34,standard
london kings cross,york,no railcard,advance,2 days,35,standard
york,wakefield,disabled,advance,24 days,7,standard
reading,swindon,no railcard,advance,4 days,9,standard
york,doncaster,disabled,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,advance,5 days,3,standard
york,doncaster,no railcard,advance,25 days,6,standard
york,peterborough,no railcard,advance,15 days,34,standard
london paddington,london waterloo,no railcard,advance,1 days,3,standard
york,peterborough,no railcard,advance,8 days,34,standard
london kings cross,york,no railcard,advance,5 days,35,standard
london kings cross,york,no railcard,advance,21 days,35,standard
liverpool lime street,london euston,no railcard,advance,7 days,76,standard
liverpool lime street,london euston,no railcard,advance,17 days,76,standard
liverpool lime street,london euston,no railcard,advance,5 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,8 days,76,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,london euston,no railcard,advance,18 days,76,standard
liverpool lime street,london euston,no railcard,advance,24 days,76,standard
london paddington,reading,no railcard,advance,16 days,13,standard
liverpool lime street,london euston,no railcard,advance,9 days,76,standard
manchester piccadilly,london euston,no railcard,advance,17 days,84,standard
oxford,bristol temple meads,no railcard,off-peak,0 days,26,standard
london euston,birmingham new street,no railcard,advance,18 days,7,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
london euston,manchester piccadilly,disabled,advance,14 days,72,first class
liverpool lime street,london euston,no railcard,advance,10 days,76,standard
liverpool lime street,london euston,no railcard,advance,12 days,76,standard
liverpool lime street,london euston,no railcard,advance,16 days,76,standard
birmingham new street,liverpool lime street,no railcard,advance,3 days,6,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
manchester piccadilly,leeds,no railcard,advance,1 days,10,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london st pancras,birmingham new street,disabled,advance,15 days,5,standard
london paddington,reading,no railcard,advance,8 days,13,standard
london euston,birmingham new street,senior,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,advance,18 days,8,standard
manchester piccadilly,london euston,no railcard,advance,14 days,84,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,adult,advance,17 days,2,standard
manchester piccadilly,leeds,adult,advance,5 days,6,standard
liverpool lime street,manchester piccadilly,adult,advance,9 days,2,standard
birmingham new street,london st pancras,senior,advance,25 days,15,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,disabled,advance,12 days,5,standard
london st pancras,birmingham new street,no railcard,advance,4 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,17 days,3,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,19 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3,standard
london st pancras,birmingham new street,no railcard,advance,6 days,8,standard
london st pancras,birmingham new street,adult,advance,25 days,5,standard
london kings cross,york,no railcard,advance,17 days,35,standard
london st pancras,birmingham new street,no railcard,advance,12 days,8,standard
london st pancras,birmingham new street,no railcard,advance,8 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,3 days,2,standard
liverpool lime street,manchester piccadilly,adult,advance,4 days,2,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,birmingham new street,disabled,advance,10 days,4,standard
london st pancras,birmingham new street,adult,advance,15 days,5,standard
london kings cross,york,no railcard,advance,15 days,35,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,senior,advance,22 days,23,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,19 days,8,standard
london paddington,reading,disabled,advance,2 days,8,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,19 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,17 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london euston,birmingham new street,no railcard,advance,19 days,7,standard
reading,london paddington,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,27,first class
london paddington,reading,disabled,advance,21 days,8,standard
london paddington,reading,disabled,advance,1 days,8,standard
london paddington,reading,disabled,advance,1 days,18,first class
london paddington,reading,disabled,advance,17 days,8,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london euston,birmingham new street,no railcard,advance,24 days,7,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11,standard
manchester piccadilly,liverpool lime street,senior,advance,9 days,2,standard
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11,standard
liverpool lime street,manchester piccadilly,no railcard,advance,23 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
liverpool lime street,london euston,senior,advance,2 days,50,standard
london st pancras,birmingham new street,senior,advance,1 days,5,standard
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11,standard
manchester piccadilly,liverpool lime street,senior,advance,10 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,8 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,3 days,2,standard
manchester piccadilly,london euston,no railcard,off-peak,0 days,126,standard
birmingham new street,stafford,no railcard,off-peak,0 days,8,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,advance,19 days,13,standard
manchester piccadilly,liverpool lime street,adult,advance,10 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,no railcard,advance,8 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
edinburgh waverley,london kings cross,no railcard,advance,19 days,29,standard
london kings cross,york,adult,advance,8 days,23,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
york,edinburgh,no railcard,advance,15 days,24,standard
manchester piccadilly,liverpool lime street,senior,advance,12 days,2,standard
london paddington,reading,no railcard,advance,2 days,13,standard
london kings cross,york,no railcard,advance,21 days,35,standard
london paddington,reading,no railcard,advance,21 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,8 days,54,first class
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,advance,25 days,13,standard
london euston,birmingham new street,disabled,advance,22 days,4,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
york,peterborough,no railcard,off-peak,0 days,50,standard
manchester piccadilly,liverpool lime street,no railcard,advance,16 days,3,standard
london kings cross,york,no railcard,advance,5 days,35,standard
birmingham new street,tamworth,no railcard,off-peak,0 days,8,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,15 days,3,standard
liverpool lime street,crewe,senior,off-peak,0 days,8,standard
london paddington,reading,senior,off-peak,0 days,27,first class
london paddington,reading,no railcard,off-peak,0 days,19,standard
london euston,birmingham new street,disabled,advance,15 days,4,standard
london euston,birmingham new street,disabled,advance,10 days,4,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
london euston,birmingham new street,adult,advance,21 days,4,standard
london euston,birmingham new street,adult,advance,5 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,advance,4 days,3,standard
york,peterborough,no railcard,advance,6 days,34,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,adult,advance,21 days,2,standard
london euston,birmingham new street,no railcard,advance,4 days,7,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,65,standard
london st pancras,leicester,adult,advance,1 days,16,standard
london st pancras,leicester,adult,advance,1 days,16,standard
liverpool lime street,sheffield,adult,advance,24 days,6,standard
liverpool lime street,london euston,adult,advance,1 days,78,first class
london euston,birmingham new street,no railcard,advance,7 days,7,standard
london st pancras,leicester,senior,off-peak,0 days,23,standard
london st pancras,leicester,senior,off-peak,0 days,23,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,advance,14 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,london euston,no railcard,advance,18 days,21,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,4 days,8,standard
birmingham new street,edinburgh,no railcard,off-peak,0 days,54,standard
liverpool lime street,manchester piccadilly,no railcard,advance,11 days,3,standard
london euston,birmingham new street,no railcard,advance,11 days,7,standard
london euston,birmingham new street,no railcard,advance,17 days,7,standard
liverpool lime street,manchester piccadilly,adult,advance,3 days,2,standard
birmingham new street,liverpool lime street,no railcard,off-peak,0 days,8,standard
liverpool lime street,london euston,adult,advance,6 days,50,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,senior,advance,2 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,20 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,6 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,22 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,5 days,2,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,adult,advance,1 days,35,first class
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,manchester piccadilly,disabled,advance,14 days,48,standard
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3,standard
birmingham new street,tamworth,no railcard,advance,1 days,5,standard
london euston,birmingham new street,adult,advance,20 days,35,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,warrington,no railcard,advance,1 days,2,standard
birmingham new street,liverpool lime street,adult,advance,15 days,4,standard
birmingham new street,york,adult,advance,2 days,33,first class
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,25 days,54,first class
liverpool lime street,crewe,senior,advance,5 days,6,standard
london kings cross,york,no railcard,advance,25 days,35,standard
birmingham new street,tamworth,no railcard,advance,15 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,20 days,8,standard
london st pancras,birmingham new street,no railcard,advance,11 days,8,standard
london kings cross,york,no railcard,advance,9 days,57,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,stafford,no railcard,advance,3 days,7,first class
birmingham new street,tamworth,no railcard,advance,1 days,5,standard
london euston,manchester piccadilly,no railcard,advance,1 days,108,first class
london kings cross,york,no railcard,advance,10 days,35,standard
london kings cross,york,no railcard,advance,8 days,35,standard
london st pancras,wolverhampton,disabled,advance,10 days,36,first class
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,22 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,20 days,35,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,manchester piccadilly,adult,off-peak,0 days,72,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,16 days,35,standard
london kings cross,york,no railcard,advance,14 days,35,standard
london st pancras,birmingham new street,no railcard,advance,14 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,4 days,2,standard
london paddington,reading,no railcard,advance,15 days,13,standard
london paddington,reading,no railcard,advance,23 days,13,standard
london st pancras,birmingham new street,no railcard,advance,3 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,16 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,15 days,3,standard
london euston,birmingham new street,no railcard,advance,13 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,17 days,3,standard
london euston,birmingham new street,no railcard,advance,21 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london euston,birmingham new street,no railcard,advance,20 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,19 days,35,standard
liverpool lime street,manchester piccadilly,adult,advance,13 days,2,standard
london paddington,reading,no railcard,advance,23 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,10 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london euston,manchester piccadilly,adult,advance,25 days,48,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,15 days,35,standard
london euston,manchester piccadilly,adult,advance,10 days,48,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
york,edinburgh,adult,off-peak,0 days,24,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,23 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,80,first class
york,durham,no railcard,off-peak,0 days,11,standard
london kings cross,liverpool lime street,no railcard,off-peak,0 days,97,standard
manchester piccadilly,nottingham,no railcard,off-peak,0 days,17,standard
liverpool lime street,manchester piccadilly,no railcard,advance,9 days,3,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,advance,5 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,13 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,advance,3 days,8,standard
york,durham,disabled,advance,16 days,5,standard
york,durham,disabled,advance,10 days,5,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,23 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,18 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,4 days,2,standard
birmingham new street,reading,no railcard,off-peak,0 days,50,standard
london kings cross,york,no railcard,advance,23 days,35,standard
manchester piccadilly,london euston,no railcard,off-peak,0 days,126,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,manchester piccadilly,adult,advance,1 days,72,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,25 days,35,standard
london paddington,reading,no railcard,advance,10 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,65,standard
manchester piccadilly,nottingham,no railcard,advance,3 days,12,standard
london paddington,reading,no railcard,advance,4 days,13,standard
london kings cross,york,no railcard,advance,14 days,57,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,no railcard,advance,13 days,7,standard
london paddington,reading,adult,advance,7 days,8,standard
london euston,birmingham new street,no railcard,advance,20 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,11 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,21 days,57,first class
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,reading,senior,anytime,0 days,17,standard
london paddington,reading,senior,anytime,0 days,17,standard
manchester piccadilly,london euston,no railcard,advance,21 days,84,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,no railcard,advance,14 days,35,standard
birmingham new street,nuneaton,no railcard,anytime,0 days,28,first class
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
manchester piccadilly,liverpool lime street,no railcard,advance,24 days,3,standard
birmingham new street,london kings cross,disabled,anytime,0 days,78,first class
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london st pancras,wolverhampton,disabled,anytime,0 days,43,standard
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
birmingham new street,nuneaton,no railcard,anytime,0 days,13,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,adult,advance,1 days,23,standard
london kings cross,york,adult,advance,18 days,23,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,senior,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,2 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,london waterloo,no railcard,anytime,0 days,6,standard
london st pancras,birmingham new street,no railcard,advance,3 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
york,peterborough,no railcard,anytime,0 days,67,standard
