Lead Time,Departure Station,Arrival Destination,Day of Week
1 days,liverpool lime street,london euston,Sunday
1 days,london paddington,reading,Sunday
1 days,london kings cross,york,Sunday
1 days,liverpool lime street,london euston,Sunday
14 days,liverpool lime street,london euston,Saturday
1 days,liverpool lime street,london euston,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,manchester piccadilly,london euston,Sunday
1 days,liverpool lime street,london euston,Sunday
1 days,london euston,birmingham new street,Sunday
1 days,liverpool lime street,london euston,Sunday
1 days,liverpool lime street,london euston,Sunday
1 days,liverpool lime street,london euston,Sunday
12 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Saturday
1 days,london euston,birmingham new street,Sunday
1 days,london kings cross,york,Sunday
1 days,manchester piccadilly,leeds,Sunday
0 days,london st pancras,birmingham new street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,birmingham new street,london st pancras,Sunday
0 days,liverpool lime street,manchester piccadilly,Saturday
1 days,london kings cross,york,Sunday
0 days,london paddington,reading,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,london euston,birmingham new street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,london st pancras,birmingham new street,Sunday
0 days,manchester piccadilly,sheffield,Saturday
1 days,liverpool lime street,manchester piccadilly,Sunday
12 days,york,edinburgh,Thursday
12 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,york,edinburgh,Saturday
1 days,london st pancras,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
0 days,london paddington,reading,Saturday
0 days,london st pancras,birmingham new street,Saturday
1 days,liverpool lime street,manchester piccadilly,Sunday
0 days,london euston,birmingham new street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,reading,london paddington,Saturday
0 days,london st pancras,birmingham new street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,london kings cross,york,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,london euston,birmingham new street,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,birmingham new street,manchester piccadilly,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,birmingham new street,manchester piccadilly,Saturday
1 days,manchester piccadilly,sheffield,Sunday
0 days,london euston,birmingham new street,Saturday
0 days,birmingham new street,stafford,Saturday
1 days,york,edinburgh,Sunday
0 days,london kings cross,york,Saturday
0 days,london kings cross,york,Saturday
0 days,london paddington,reading,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,liverpool lime street,manchester piccadilly,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
1 days,london kings cross,york,Sunday
0 days,liverpool lime street,manchester piccadilly,Saturday
1 days,edinburgh waverley,london kings cross,Sunday
0 days,london euston,birmingham new street,Saturday
0 days,london st pancras,birmingham new street,Saturday
1 days,london kings cross,york,Sunday
1 days,manchester piccadilly,london euston,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,london paddington,reading,Sunday
0 days,london paddington,reading,Saturday
0 days,london paddington,reading,Saturday
0 days,birmingham new street,york,Saturday
0 days,birmingham new street,york,Saturday
1 days,reading,london paddington,Sunday
0 days,liverpool lime street,london euston,Saturday
0 days,london st pancras,birmingham new street,Saturday
0 days,london paddington,reading,Saturday
1 days,london euston,birmingham new street,Sunday
0 days,birmingham new street,nuneaton,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london euston,manchester piccadilly,Sunday
0 days,london st pancras,birmingham new street,Saturday
0 days,london st pancras,birmingham new street,Saturday
1 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london st pancras,birmingham new street,Saturday
1 days,london euston,birmingham new street,Sunday
1 days,london euston,birmingham new street,Sunday
15 days,london kings cross,york,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,london euston,birmingham new street,Saturday
20 days,birmingham new street,london euston,Friday
1 days,london euston,birmingham new street,Sunday
1 days,london kings cross,york,Sunday
1 days,birmingham new street,london paddington,Sunday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,manchester piccadilly,liverpool lime street,Saturday
0 days,london euston,birmingham new street,Saturday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london euston,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,birmingham new street,tamworth,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london paddington,reading,Sunday
1 days,london paddington,reading,Sunday
14 days,liverpool lime street,manchester piccadilly,Saturday
0 days,liverpool lime street,manchester piccadilly,Saturday
0 days,manchester piccadilly,leeds,Saturday
0 days,liverpool lime street,manchester piccadilly,Saturday
1 days,london st pancras,birmingham new street,Sunday
1 days,birmingham new street,tamworth,Sunday
1 days,liverpool lime street,crewe,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,london kings cross,york,Sunday
1 days,birmingham new street,nuneaton,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,london kings cross,york,Sunday
1 days,birmingham new street,nuneaton,Sunday
13 days,london st pancras,birmingham new street,Friday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london paddington,reading,Saturday
1 days,london st pancras,birmingham new street,Sunday
1 days,london paddington,reading,Sunday
1 days,london euston,birmingham new street,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london st pancras,birmingham new street,Sunday
1 days,london kings cross,york,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,london euston,manchester piccadilly,Sunday
1 days,liverpool lime street,manchester piccadilly,Sunday
1 days,london st pancras,birmingham new street,Sunday
14 days,london kings cross,york,Saturday
1 days,london euston,manchester piccadilly,Sunday
0 days,liverpool lime street,manchester piccadilly,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,manchester piccadilly,nottingham,Sunday
0 days,london euston,birmingham new street,Sunday
1 days,london paddington,reading,Monday
1 days,birmingham new street,london euston,Monday
1 days,london paddington,reading,Monday
1 days,london euston,birmingham new street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Monday
0 days,liverpool lime street,manchester piccadilly,Sunday
0 days,york,durham,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,london euston,birmingham new street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london euston,birmingham new street,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,manchester piccadilly,london euston,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,manchester piccadilly,nottingham,Monday
0 days,london paddington,reading,Sunday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london kings cross,york,Sunday
1 days,london paddington,reading,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,birmingham new street,nuneaton,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london kings cross,york,Sunday
0 days,birmingham new street,london st pancras,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,birmingham new street,london st pancras,Sunday
0 days,london kings cross,york,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,birmingham new street,london st pancras,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london st pancras,birmingham new street,Monday
0 days,london paddington,london waterloo,Sunday
0 days,reading,swindon,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,liverpool lime street,london euston,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,reading,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,london euston,manchester piccadilly,Sunday
0 days,liverpool lime street,london euston,Sunday
0 days,liverpool lime street,london euston,Sunday
1 days,liverpool lime street,london euston,Monday
1 days,london kings cross,york,Monday
0 days,london kings cross,york,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,london paddington,reading,Sunday
0 days,london kings cross,york,Sunday
0 days,london paddington,oxford,Sunday
0 days,london kings cross,york,Sunday
0 days,london paddington,reading,Sunday
0 days,london paddington,reading,Sunday
0 days,london paddington,reading,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london kings cross,york,Monday
1 days,london paddington,reading,Monday
1 days,london kings cross,york,Monday
1 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london kings cross,york,Monday
1 days,reading,didcot,Monday
1 days,london euston,birmingham new street,Monday
1 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,london paddington,reading,Monday
1 days,london paddington,reading,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
15 days,london paddington,oxford,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london paddington,reading,Monday
1 days,london paddington,oxford,Monday
1 days,london paddington,reading,Monday
1 days,london paddington,reading,Monday
1 days,birmingham new street,london st pancras,Monday
1 days,london euston,birmingham new street,Monday
1 days,reading,swindon,Monday
1 days,reading,swindon,Monday
0 days,london st pancras,birmingham new street,Sunday
1 days,reading,swindon,Monday
1 days,reading,swindon,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london kings cross,york,Monday
1 days,london kings cross,york,Monday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,york,Sunday
1 days,birmingham new street,london euston,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,liverpool lime street,london euston,Monday
1 days,liverpool lime street,london euston,Monday
1 days,london euston,manchester piccadilly,Monday
1 days,liverpool lime street,london euston,Monday
1 days,liverpool lime street,london euston,Monday
1 days,london euston,manchester piccadilly,Monday
1 days,london paddington,reading,Monday
0 days,london euston,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
1 days,london kings cross,york,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london paddington,reading,Monday
1 days,london st pancras,birmingham new street,Monday
0 days,london st pancras,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
1 days,london paddington,reading,Monday
20 days,london kings cross,york,Saturday
1 days,london kings cross,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
18 days,manchester piccadilly,liverpool lime street,Thursday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,liverpool lime street,manchester piccadilly,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
12 days,birmingham new street,manchester piccadilly,Friday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,birmingham new street,manchester piccadilly,Monday
1 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,liverpool lime street,manchester piccadilly,Sunday
0 days,london paddington,reading,Sunday
1 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Monday
0 days,london kings cross,york,Sunday
1 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,york,peterborough,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london kings cross,york,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london kings cross,york,Sunday
1 days,liverpool lime street,london euston,Monday
0 days,london kings cross,york,Sunday
0 days,london kings cross,york,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,london euston,birmingham new street,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
0 days,manchester piccadilly,london euston,Sunday
0 days,birmingham new street,london euston,Sunday
0 days,birmingham new street,stafford,Sunday
0 days,birmingham new street,stafford,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,birmingham new street,stafford,Sunday
1 days,liverpool lime street,manchester piccadilly,Monday
0 days,liverpool lime street,london euston,Sunday
1 days,london paddington,reading,Monday
0 days,liverpool lime street,london euston,Sunday
0 days,london st pancras,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london euston,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,london kings cross,york,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london paddington,reading,Monday
0 days,manchester piccadilly,london euston,Sunday
0 days,manchester piccadilly,london euston,Sunday
0 days,birmingham new street,tamworth,Sunday
0 days,birmingham new street,wolverhampton,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,birmingham new street,tamworth,Sunday
0 days,london st pancras,birmingham new street,Sunday
1 days,london st pancras,birmingham new street,Monday
0 days,london st pancras,birmingham new street,Sunday
0 days,london st pancras,birmingham new street,Sunday
0 days,birmingham new street,tamworth,Sunday
1 days,london euston,manchester piccadilly,Monday
1 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london kings cross,york,Monday
0 days,london paddington,reading,Sunday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london euston,birmingham new street,Monday
1 days,london euston,birmingham new street,Monday
1 days,london paddington,reading,Monday
0 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london euston,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,leicester,Monday
1 days,liverpool lime street,london euston,Monday
1 days,manchester piccadilly,london euston,Monday
0 days,london st pancras,leicester,Sunday
0 days,london st pancras,leicester,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,manchester piccadilly,liverpool lime street,Sunday
0 days,london euston,birmingham new street,Sunday
1 days,london kings cross,york,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,liverpool lime street,london euston,Monday
1 days,reading,oxford,Monday
1 days,liverpool lime street,london euston,Monday
0 days,birmingham new street,liverpool lime street,Sunday
1 days,london kings cross,york,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Monday
1 days,birmingham new street,york,Monday
1 days,birmingham new street,york,Monday
1 days,liverpool lime street,crewe,Monday
1 days,liverpool lime street,crewe,Monday
1 days,london paddington,reading,Monday
1 days,birmingham new street,tamworth,Monday
1 days,birmingham new street,tamworth,Monday
1 days,london kings cross,york,Monday
1 days,birmingham new street,tamworth,Monday
1 days,birmingham new street,tamworth,Monday
1 days,london paddington,reading,Monday
0 days,liverpool lime street,manchester piccadilly,Sunday
1 days,reading,swindon,Monday
14 days,birmingham new street,stafford,Sunday
1 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Monday
0 days,london st pancras,birmingham new street,Sunday
1 days,london paddington,reading,Monday
1 days,london euston,manchester piccadilly,Monday
1 days,london euston,manchester piccadilly,Monday
1 days,london euston,manchester piccadilly,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,london euston,birmingham new street,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
1 days,liverpool lime street,manchester piccadilly,Monday
23 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,manchester piccadilly,london paddington,Monday
0 days,london kings cross,liverpool lime street,Monday
0 days,london paddington,reading,Monday
2 days,london kings cross,edinburgh waverley,Wednesday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london paddington,reading,Monday
1 days,london st pancras,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Monday
0 days,london paddington,reading,Monday
21 days,york,durham,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,york,durham,Monday
1 days,london st pancras,birmingham new street,Tuesday
0 days,manchester piccadilly,london euston,Monday
0 days,london kings cross,york,Monday
13 days,manchester piccadilly,liverpool lime street,Sunday
1 days,london euston,birmingham new street,Tuesday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,london paddington,reading,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,london kings cross,york,Monday
0 days,london kings cross,york,Monday
0 days,liverpool lime street,london euston,Monday
0 days,liverpool lime street,london euston,Monday
0 days,london euston,manchester piccadilly,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,liverpool lime street,Monday
0 days,liverpool lime street,london euston,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,reading,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Tuesday
0 days,birmingham new street,london st pancras,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,manchester piccadilly,london euston,Tuesday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london paddington,reading,Monday
0 days,london kings cross,york,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,london paddington,reading,Monday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london euston,birmingham new street,Tuesday
11 days,liverpool lime street,manchester piccadilly,Friday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london kings cross,york,Monday
1 days,birmingham new street,london st pancras,Tuesday
0 days,london paddington,reading,Monday
1 days,birmingham new street,london st pancras,Tuesday
0 days,london kings cross,york,Monday
1 days,london kings cross,york,Tuesday
0 days,london kings cross,york,Monday
1 days,london kings cross,york,Tuesday
19 days,liverpool lime street,london euston,Saturday
0 days,liverpool lime street,london euston,Monday
0 days,liverpool lime street,london euston,Monday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,liverpool lime street,london euston,Monday
0 days,london paddington,reading,Monday
0 days,reading,oxford,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london euston,birmingham new street,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,oxford,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,london paddington,oxford,Monday
0 days,london kings cross,york,Monday
0 days,london euston,birmingham new street,Monday
0 days,london kings cross,york,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,oxford,Monday
1 days,liverpool lime street,manchester piccadilly,Tuesday
0 days,london paddington,reading,Monday
1 days,london paddington,reading,Tuesday
0 days,manchester piccadilly,liverpool lime street,Monday
21 days,liverpool lime street,crewe,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
15 days,london kings cross,york,Tuesday
1 days,london kings cross,york,Tuesday
0 days,london paddington,reading,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
10 days,york,doncaster,Thursday
1 days,london euston,birmingham new street,Tuesday
1 days,london kings cross,york,Tuesday
0 days,london kings cross,york,Monday
1 days,london st pancras,birmingham new street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london kings cross,york,Monday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,york,Tuesday
13 days,london paddington,oxford,Sunday
1 days,london paddington,oxford,Tuesday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london paddington,reading,Tuesday
1 days,london paddington,reading,Tuesday
1 days,london paddington,reading,Tuesday
14 days,london paddington,reading,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,london euston,birmingham new street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,london kings cross,york,Tuesday
13 days,york,peterborough,Sunday
1 days,reading,swindon,Tuesday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,london paddington,reading,Tuesday
1 days,reading,swindon,Tuesday
1 days,reading,swindon,Tuesday
1 days,london kings cross,york,Tuesday
1 days,reading,swindon,Tuesday
1 days,london kings cross,york,Tuesday
0 days,manchester piccadilly,sheffield,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,manchester piccadilly,sheffield,Monday
1 days,reading,oxford,Tuesday
1 days,liverpool lime street,london euston,Tuesday
11 days,birmingham new street,london euston,Friday
1 days,london euston,manchester piccadilly,Tuesday
1 days,liverpool lime street,london euston,Tuesday
1 days,liverpool lime street,london euston,Tuesday
20 days,liverpool lime street,london euston,Sunday
1 days,liverpool lime street,london euston,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,liverpool lime street,london euston,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
14 days,london euston,birmingham new street,Monday
1 days,london euston,birmingham new street,Tuesday
1 days,london euston,birmingham new street,Tuesday
0 days,london kings cross,york,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,london paddington,reading,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london euston,birmingham new street,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,reading,Monday
0 days,london paddington,reading,Monday
0 days,london kings cross,york,Monday
0 days,liverpool lime street,manchester piccadilly,Monday
0 days,london paddington,reading,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,manchester piccadilly,liverpool lime street,Monday
0 days,birmingham new street,london st pancras,Monday
0 days,london euston,birmingham new street,Monday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,manchester piccadilly,sheffield,Tuesday
0 days,york,edinburgh,Monday
0 days,york,edinburgh,Monday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london st pancras,birmingham new street,Tuesday
0 days,london kings cross,york,Monday
0 days,london paddington,reading,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,london kings cross,york,Monday
1 days,london kings cross,york,Tuesday
0 days,london paddington,reading,Monday
0 days,london euston,birmingham new street,Monday
0 days,reading,london paddington,Monday
0 days,birmingham new street,liverpool lime street,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,london euston,manchester piccadilly,Tuesday
1 days,london kings cross,york,Tuesday
0 days,london euston,birmingham new street,Monday
0 days,london euston,birmingham new street,Monday
0 days,york,peterborough,Monday
0 days,london kings cross,york,Monday
1 days,london kings cross,york,Tuesday
0 days,london paddington,reading,Monday
0 days,london kings cross,york,Monday
0 days,london st pancras,leicester,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,edinburgh waverley,london kings cross,Monday
0 days,london kings cross,york,Monday
0 days,london kings cross,york,Monday
0 days,london kings cross,york,Monday
1 days,london st pancras,birmingham new street,Tuesday
1 days,london paddington,reading,Tuesday
0 days,london st pancras,birmingham new street,Monday
0 days,birmingham new street,london paddington,Monday
1 days,oxford,bristol temple meads,Tuesday
0 days,london euston,birmingham new street,Monday
11 days,london kings cross,york,Friday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london st pancras,birmingham new street,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,london euston,birmingham new street,Tuesday
0 days,london euston,birmingham new street,Monday
0 days,birmingham new street,nuneaton,Monday
0 days,london st pancras,birmingham new street,Monday
0 days,london paddington,reading,Monday
0 days,birmingham new street,tamworth,Monday
0 days,london kings cross,york,Monday
0 days,liverpool lime street,crewe,Monday
0 days,birmingham new street,tamworth,Monday
0 days,london euston,manchester piccadilly,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
0 days,london st pancras,birmingham new street,Monday
1 days,london euston,birmingham new street,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,london euston,birmingham new street,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
1 days,birmingham new street,manchester piccadilly,Tuesday
1 days,birmingham new street,manchester piccadilly,Tuesday
0 days,manchester piccadilly,liverpool lime street,Monday
1 days,london st pancras,birmingham new street,Tuesday
0 days,london paddington,reading,Monday
1 days,london kings cross,york,Tuesday
1 days,london kings cross,york,Tuesday
0 days,london paddington,reading,Monday
0 days,london st pancras,birmingham new street,Monday
1 days,london kings cross,york,Tuesday
1 days,liverpool lime street,manchester piccadilly,Tuesday
1 days,london kings cross,york,Tuesday
1 days,manchester piccadilly,liverpool lime street,Tuesday
