Time of Purchase,Lead Time,Ticket Type
23:27:47,1 days,advance
23:31:54,1 days,advance
23:34:27,1 days,advance
23:41:09,1 days,advance
23:48:05,1 days,advance
23:50:29,1 days,advance
23:56:11,1 days,advance
23:58:26,15 days,advance
00:02:07,0 days,off-peak
00:03:19,1 days,advance
00:10:58,0 days,off-peak
00:25:41,0 days,off-peak
00:29:10,0 days,off-peak
00:32:53,0 days,off-peak
00:34:36,0 days,off-peak
00:48:27,4 days,advance
00:56:40,0 days,off-peak
00:57:36,0 days,off-peak
01:09:12,1 days,advance
01:21:04,1 days,advance
01:23:29,0 days,off-peak
01:23:32,4 days,advance
01:23:52,1 days,advance
01:28:49,0 days,off-peak
01:34:34,1 days,advance
01:41:45,12 days,advance
01:43:49,1 days,advance
01:52:42,20 days,advance
02:02:54,1 days,advance
02:14:37,1 days,advance
02:22:13,1 days,advance
02:22:22,14 days,advance
02:50:00,0 days,off-peak
03:07:03,0 days,off-peak
03:07:27,1 days,advance
03:08:55,1 days,advance
03:31:07,0 days,off-peak
03:35:06,0 days,off-peak
03:39:23,0 days,off-peak
03:41:43,1 days,advance
03:49:47,0 days,off-peak
04:05:36,1 days,advance
04:10:21,0 days,off-peak
04:11:53,0 days,off-peak
04:13:54,1 days,advance
04:18:32,1 days,advance
04:26:05,0 days,off-peak
04:47:04,0 days,anytime
04:47:42,0 days,anytime
04:56:25,0 days,anytime
04:56:40,0 days,anytime
04:57:46,0 days,anytime
04:58:17,0 days,anytime
04:58:48,0 days,anytime
04:59:29,0 days,anytime
05:00:12,0 days,anytime
05:04:28,0 days,anytime
05:06:49,0 days,anytime
05:07:46,0 days,anytime
05:10:12,1 days,advance
05:10:54,0 days,anytime
05:11:04,0 days,anytime
05:11:49,0 days,anytime
05:13:37,0 days,anytime
05:14:11,0 days,anytime
05:17:06,1 days,advance
05:20:55,0 days,anytime
05:21:33,0 days,anytime
05:23:15,0 days,anytime
05:37:55,0 days,anytime
05:40:44,1 days,advance
05:48:54,0 days,off-peak
05:52:20,1 days,advance
05:58:51,1 days,advance
06:02:33,0 days,anytime
06:04:03,1 days,advance
06:04:20,0 days,anytime
06:10:08,0 days,anytime
06:11:35,1 days,advance
06:15:19,1 days,advance
06:32:01,0 days,anytime
06:33:36,0 days,anytime
06:35:59,0 days,anytime
06:37:31,0 days,anytime
06:54:01,0 days,anytime
06:58:32,0 days,anytime
07:11:55,0 days,anytime
07:15:15,0 days,anytime
07:17:01,0 days,anytime
07:17:29,0 days,anytime
07:17:45,0 days,anytime
07:21:26,0 days,anytime
07:22:21,0 days,anytime
07:23:53,0 days,anytime
07:33:11,0 days,off-peak
07:41:19,1 days,advance
07:43:14,0 days,anytime
07:48:58,1 days,advance
07:51:06,1 days,advance
07:53:14,1 days,advance
07:53:22,1 days,advance
07:53:37,1 days,advance
07:54:26,1 days,advance
07:56:34,1 days,advance
07:56:59,0 days,off-peak
07:57:28,1 days,advance
08:03:05,1 days,advance
08:05:00,1 days,advance
08:08:19,14 days,advance
08:11:15,1 days,advance
08:12:45,7 days,advance
08:13:42,1 days,advance
08:16:45,1 days,advance
08:16:55,1 days,advance
08:17:01,1 days,advance
08:18:20,1 days,advance
08:18:59,0 days,off-peak
08:19:56,1 days,advance
08:24:14,1 days,advance
08:24:30,0 days,off-peak
08:24:45,1 days,advance
08:27:00,1 days,advance
08:28:17,1 days,advance
08:29:31,1 days,advance
09:02:14,1 days,advance
09:07:42,1 days,advance
09:25:54,0 days,off-peak
09:26:54,0 days,off-peak
09:30:12,1 days,advance
09:31:14,15 days,advance
09:32:33,1 days,advance
09:39:05,0 days,off-peak
09:39:51,1 days,advance
09:40:40,0 days,off-peak
09:42:10,1 days,advance
09:43:14,5 days,advance
09:45:00,1 days,advance
09:49:31,0 days,off-peak
09:51:37,1 days,advance
09:51:39,0 days,off-peak
09:58:50,0 days,off-peak
10:23:43,8 days,advance
10:24:01,0 days,off-peak
10:27:40,0 days,off-peak
10:34:17,1 days,advance
10:36:35,0 days,off-peak
10:37:33,0 days,off-peak
10:40:14,1 days,advance
10:42:56,1 days,advance
10:47:36,1 days,advance
10:54:18,0 days,off-peak
11:15:41,0 days,off-peak
11:18:24,0 days,off-peak
11:25:03,0 days,off-peak
11:30:27,0 days,off-peak
11:33:11,1 days,advance
11:34:04,1 days,advance
11:36:18,1 days,advance
11:49:05,0 days,off-peak
11:50:03,1 days,advance
11:54:51,0 days,off-peak
12:12:53,1 days,advance
12:20:54,0 days,off-peak
12:34:07,1 days,advance
12:41:55,1 days,advance
12:54:54,0 days,off-peak
13:16:44,1 days,advance
13:21:01,1 days,advance
13:24:23,0 days,off-peak
13:32:35,0 days,off-peak
13:36:37,0 days,off-peak
13:46:07,1 days,advance
14:12:09,1 days,advance
14:12:42,1 days,advance
14:15:08,0 days,off-peak
14:16:36,1 days,advance
14:20:20,0 days,off-peak
14:25:23,1 days,advance
14:28:17,3 days,advance
14:29:34,1 days,advance
14:31:50,0 days,anytime
14:35:04,0 days,anytime
14:35:10,1 days,advance
14:37:07,0 days,anytime
14:40:13,0 days,anytime
14:43:16,0 days,anytime
14:45:08,0 days,anytime
14:49:39,0 days,anytime
14:53:21,0 days,anytime
14:53:25,1 days,advance
14:54:33,1 days,advance
14:55:03,1 days,advance
14:55:25,1 days,advance
14:58:35,1 days,advance
15:00:21,0 days,anytime
15:02:30,0 days,off-peak
15:11:12,1 days,advance
15:11:41,0 days,anytime
15:13:47,0 days,anytime
15:14:52,0 days,anytime
15:18:00,3 days,advance
15:21:41,7 days,advance
15:35:39,0 days,anytime
15:39:49,1 days,advance
15:45:10,1 days,advance
15:50:06,0 days,anytime
15:51:49,1 days,advance
16:07:14,0 days,anytime
16:07:47,1 days,advance
16:11:30,0 days,anytime
16:11:41,1 days,advance
16:13:11,0 days,anytime
16:14:51,0 days,anytime
16:17:48,1 days,advance
16:28:50,1 days,advance
16:46:56,0 days,anytime
16:53:33,0 days,anytime
17:00:50,1 days,advance
17:02:19,0 days,anytime
17:08:14,1 days,advance
17:10:08,1 days,advance
17:15:14,1 days,advance
17:16:53,0 days,anytime
17:17:43,0 days,anytime
17:19:45,0 days,anytime
17:20:13,0 days,anytime
17:20:32,0 days,anytime
17:22:34,0 days,anytime
17:23:12,0 days,anytime
17:23:20,0 days,anytime
17:23:43,0 days,anytime
17:24:16,1 days,advance
17:24:42,0 days,anytime
17:25:56,0 days,anytime
17:28:18,0 days,anytime
17:29:07,0 days,anytime
17:32:27,1 days,advance
17:36:34,1 days,advance
17:37:21,0 days,off-peak
17:39:23,1 days,advance
17:40:56,1 days,advance
17:41:24,1 days,advance
17:41:49,1 days,advance
17:43:37,0 days,off-peak
17:44:11,1 days,advance
17:47:46,1 days,advance
17:50:36,1 days,advance
17:55:07,1 days,advance
17:55:58,3 days,advance
18:03:59,1 days,advance
18:05:06,1 days,advance
18:08:08,1 days,advance
18:10:06,1 days,advance
18:10:35,0 days,anytime
18:18:28,0 days,anytime
18:22:45,1 days,advance
18:26:27,0 days,off-peak
18:31:55,0 days,off-peak
18:33:07,1 days,advance
18:35:42,0 days,off-peak
18:35:58,1 days,advance
18:41:08,0 days,off-peak
18:48:13,0 days,off-peak
18:49:16,1 days,advance
18:49:17,0 days,off-peak
18:55:02,1 days,advance
18:56:58,0 days,off-peak
18:59:37,1 days,advance
19:22:52,1 days,advance
19:24:47,1 days,advance
19:29:12,1 days,advance
19:30:49,1 days,advance
19:33:20,1 days,advance
19:36:27,1 days,advance
19:41:17,1 days,advance
19:45:03,20 days,advance
19:53:07,1 days,advance
20:08:32,0 days,off-peak
20:10:35,0 days,off-peak
20:16:06,1 days,advance
20:16:59,1 days,advance
20:19:38,1 days,advance
20:20:21,1 days,advance
20:20:37,1 days,advance
20:22:42,1 days,advance
20:23:30,10 days,advance
20:24:22,1 days,advance
20:30:26,1 days,advance
20:31:19,1 days,advance
20:31:26,1 days,advance
20:34:53,0 days,off-peak
20:43:48,1 days,advance
20:47:17,0 days,off-peak
20:48:47,0 days,off-peak
21:08:34,1 days,advance
21:43:32,1 days,advance
21:44:45,1 days,advance
21:51:55,1 days,advance
21:52:40,1 days,advance
21:56:11,1 days,advance
22:11:49,1 days,advance
22:31:26,13 days,advance
22:43:17,1 days,advance
23:13:17,1 days,advance
23:14:55,1 days,advance
23:42:25,1 days,advance
23:56:45,1 days,advance
00:10:20,0 days,off-peak
00:20:07,0 days,off-peak
00:20:20,2 days,advance
00:23:24,0 days,off-peak
00:41:28,0 days,off-peak
01:07:45,0 days,off-peak
01:09:11,0 days,off-peak
01:22:37,0 days,off-peak
01:25:47,0 days,off-peak
01:28:54,9 days,advance
01:38:18,6 days,advance
01:42:20,6 days,advance
02:05:26,0 days,off-peak
02:54:36,0 days,off-peak
02:59:03,0 days,off-peak
02:59:54,0 days,off-peak
03:46:44,0 days,off-peak
03:55:45,0 days,off-peak
04:20:46,0 days,off-peak
04:27:19,0 days,off-peak
04:55:21,0 days,anytime
04:57:09,0 days,anytime
04:58:38,0 days,anytime
04:59:12,0 days,anytime
05:03:01,0 days,anytime
05:10:55,0 days,anytime
05:13:17,0 days,anytime
05:14:05,0 days,anytime
05:29:14,0 days,anytime
05:30:40,0 days,anytime
05:38:33,0 days,anytime
05:46:58,9 days,advance
05:49:06,0 days,anytime
05:59:55,0 days,anytime
06:00:59,0 days,anytime
06:03:33,0 days,anytime
06:04:26,0 days,anytime
06:05:37,0 days,anytime
06:06:37,0 days,anytime
06:10:24,0 days,anytime
06:10:40,0 days,anytime
06:12:29,0 days,anytime
06:15:19,0 days,anytime
06:31:39,0 days,anytime
06:33:59,0 days,anytime
06:34:46,0 days,anytime
06:36:53,0 days,anytime
06:43:23,0 days,anytime
06:57:20,0 days,anytime
07:17:18,0 days,anytime
07:17:27,0 days,anytime
07:24:48,0 days,anytime
07:26:45,0 days,anytime
07:29:31,0 days,anytime
07:32:04,0 days,off-peak
07:47:11,0 days,off-peak
08:15:56,3 days,advance
09:09:57,0 days,off-peak
09:10:50,3 days,advance
09:13:41,0 days,off-peak
09:24:50,0 days,off-peak
09:26:42,0 days,off-peak
09:39:24,0 days,off-peak
09:41:06,0 days,off-peak
10:21:10,0 days,off-peak
10:34:05,0 days,off-peak
10:34:23,18 days,advance
10:56:43,3 days,advance
11:03:20,0 days,off-peak
11:17:24,0 days,off-peak
11:18:33,0 days,off-peak
11:28:04,0 days,off-peak
11:41:22,0 days,off-peak
11:54:01,0 days,off-peak
11:55:55,0 days,off-peak
12:24:31,0 days,off-peak
13:24:57,0 days,off-peak
13:28:35,0 days,off-peak
14:00:41,3 days,advance
14:09:19,0 days,off-peak
14:13:38,0 days,anytime
14:15:26,0 days,off-peak
14:21:51,0 days,off-peak
14:24:36,0 days,off-peak
14:28:28,0 days,off-peak
14:39:29,0 days,anytime
14:41:12,0 days,anytime
14:41:42,0 days,anytime
14:42:31,0 days,anytime
14:42:37,0 days,anytime
14:45:59,0 days,anytime
15:05:04,0 days,off-peak
15:16:47,0 days,anytime
15:43:55,0 days,anytime
15:44:07,0 days,anytime
15:48:05,0 days,anytime
15:49:35,0 days,anytime
15:51:03,0 days,anytime
15:55:27,0 days,anytime
16:06:15,0 days,anytime
16:06:21,0 days,anytime
16:07:52,0 days,anytime
17:05:49,0 days,anytime
17:10:39,0 days,anytime
17:11:25,0 days,anytime
17:15:13,0 days,anytime
17:15:26,0 days,anytime
17:16:11,0 days,anytime
17:17:20,0 days,anytime
17:18:05,0 days,anytime
17:18:10,0 days,anytime
17:21:12,0 days,anytime
17:21:25,0 days,anytime
17:22:47,0 days,anytime
17:22:50,0 days,anytime
17:23:47,0 days,anytime
17:26:57,0 days,anytime
17:27:44,0 days,anytime
17:27:53,0 days,anytime
17:28:27,0 days,anytime
17:28:52,0 days,anytime
17:43:16,0 days,off-peak
17:46:24,15 days,advance
17:51:04,0 days,off-peak
17:51:18,0 days,off-peak
17:59:20,8 days,advance
18:16:46,0 days,anytime
18:20:25,0 days,anytime
18:43:01,6 days,advance
19:42:19,0 days,off-peak
20:13:16,0 days,off-peak
20:53:49,0 days,off-peak
20:56:26,0 days,off-peak
20:59:01,0 days,off-peak
20:59:27,0 days,off-peak
22:30:44,1 days,advance
22:30:47,1 days,advance
22:31:08,1 days,advance
22:38:05,1 days,advance
22:42:45,1 days,advance
22:50:54,1 days,advance
22:50:55,1 days,advance
23:06:27,1 days,advance
23:21:45,1 days,advance
23:47:46,4 days,advance
00:01:01,1 days,advance
00:02:02,0 days,off-peak
00:02:05,1 days,advance
00:08:38,0 days,off-peak
00:09:01,0 days,off-peak
00:14:23,0 days,off-peak
00:20:57,0 days,off-peak
00:27:16,0 days,off-peak
00:27:44,0 days,off-peak
00:28:10,0 days,off-peak
00:28:30,0 days,off-peak
00:35:35,0 days,off-peak
00:44:27,0 days,off-peak
00:48:48,0 days,off-peak
00:50:04,0 days,off-peak
00:51:21,0 days,off-peak
00:53:35,0 days,off-peak
00:53:42,0 days,off-peak
00:54:09,0 days,off-peak
01:10:46,0 days,off-peak
01:13:45,0 days,off-peak
01:15:56,0 days,off-peak
01:17:11,0 days,off-peak
01:24:12,0 days,off-peak
01:24:16,0 days,off-peak
01:25:29,0 days,off-peak
01:27:54,1 days,advance
01:31:13,1 days,advance
01:31:44,1 days,advance
01:35:26,1 days,advance
01:56:40,0 days,off-peak
01:57:28,1 days,advance
02:03:15,0 days,off-peak
02:05:00,1 days,advance
02:05:07,0 days,off-peak
02:17:35,0 days,off-peak
02:21:38,0 days,off-peak
02:51:56,0 days,off-peak
03:07:29,0 days,off-peak
03:07:34,0 days,off-peak
03:09:35,0 days,off-peak
03:09:57,1 days,advance
03:17:54,1 days,advance
03:22:16,0 days,off-peak
03:29:09,1 days,advance
03:40:45,0 days,off-peak
03:49:59,1 days,advance
03:50:32,1 days,advance
03:50:34,3 days,advance
03:51:22,0 days,off-peak
03:51:59,1 days,advance
03:52:49,4 days,advance
03:55:15,7 days,advance
04:08:50,1 days,advance
04:11:10,13 days,advance
04:17:46,0 days,off-peak
04:19:20,1 days,advance
04:25:05,0 days,off-peak
04:25:14,0 days,off-peak
04:37:47,0 days,anytime
04:45:51,0 days,anytime
04:46:53,0 days,anytime
04:48:12,0 days,anytime
04:51:13,0 days,anytime
04:52:53,0 days,anytime
04:53:08,0 days,anytime
04:53:42,0 days,anytime
04:53:53,0 days,anytime
04:55:18,0 days,anytime
04:55:29,0 days,anytime
04:56:05,0 days,anytime
04:56:23,0 days,anytime
04:56:44,0 days,anytime
05:01:01,0 days,anytime
05:03:33,0 days,anytime
05:04:26,0 days,anytime
05:05:31,0 days,anytime
05:06:11,0 days,anytime
05:09:15,0 days,anytime
05:09:32,0 days,anytime
05:09:44,0 days,anytime
05:10:04,0 days,anytime
05:10:09,0 days,anytime
05:10:49,0 days,anytime
05:10:56,0 days,anytime
05:11:38,0 days,anytime
05:12:22,0 days,anytime
05:18:05,1 days,advance
05:20:45,0 days,anytime
05:20:59,0 days,anytime
05:28:04,0 days,anytime
05:28:23,0 days,anytime
05:29:09,0 days,anytime
05:44:36,0 days,off-peak
05:52:00,1 days,advance
05:53:51,1 days,advance
05:54:36,0 days,off-peak
06:00:29,14 days,advance
06:03:49,0 days,anytime
06:05:00,0 days,anytime
06:07:29,0 days,anytime
06:10:13,0 days,anytime
06:10:37,0 days,anytime
06:10:38,0 days,anytime
06:10:46,0 days,anytime
06:13:22,0 days,anytime
06:13:31,0 days,anytime
06:14:31,0 days,anytime
06:14:35,1 days,advance
06:32:34,0 days,anytime
06:32:59,1 days,advance
06:35:49,0 days,anytime
06:36:17,0 days,anytime
06:36:19,0 days,anytime
06:38:03,0 days,anytime
06:39:29,0 days,anytime
06:39:43,0 days,anytime
06:40:14,0 days,anytime
06:40:36,0 days,anytime
06:41:56,0 days,anytime
06:42:11,0 days,anytime
06:42:13,0 days,anytime
06:43:10,1 days,advance
06:43:39,0 days,anytime
06:45:58,0 days,anytime
06:47:58,0 days,anytime
06:57:03,0 days,anytime
06:58:25,0 days,anytime
06:58:52,0 days,anytime
07:01:22,0 days,anytime
07:02:30,1 days,advance
07:05:30,0 days,anytime
07:10:13,0 days,anytime
07:15:12,0 days,anytime
07:18:32,0 days,anytime
07:18:48,0 days,anytime
07:19:02,0 days,anytime
07:22:30,0 days,anytime
07:22:40,0 days,anytime
07:23:05,0 days,anytime
07:23:56,0 days,anytime
07:24:17,0 days,anytime
07:24:22,1 days,advance
07:24:28,0 days,anytime
07:25:27,0 days,anytime
07:25:34,0 days,anytime
07:26:26,7 days,advance
07:26:41,0 days,anytime
07:30:20,0 days,off-peak
07:35:03,1 days,advance
07:36:43,1 days,advance
07:36:47,0 days,off-peak
07:40:43,0 days,off-peak
07:41:36,0 days,off-peak
07:42:42,0 days,off-peak
07:46:55,1 days,advance
07:47:10,0 days,anytime
07:48:51,0 days,off-peak
07:49:39,0 days,off-peak
07:50:17,0 days,anytime
07:54:46,0 days,anytime
07:54:46,1 days,advance
07:56:03,3 days,advance
07:59:23,1 days,advance
07:59:52,13 days,advance
08:01:10,1 days,advance
08:04:51,1 days,advance
08:08:26,1 days,advance
08:14:21,1 days,advance
08:14:57,1 days,advance
08:15:39,1 days,advance
08:15:50,1 days,advance
08:16:19,6 days,advance
08:19:02,1 days,advance
08:21:12,1 days,advance
08:21:39,21 days,advance
08:23:51,0 days,off-peak
08:26:15,0 days,off-peak
08:27:57,1 days,advance
08:31:17,1 days,advance
08:34:03,0 days,off-peak
08:44:36,0 days,off-peak
08:44:56,1 days,advance
08:53:33,1 days,advance
08:58:20,0 days,off-peak
09:00:29,1 days,advance
09:02:05,1 days,advance
09:02:12,0 days,off-peak
09:04:41,1 days,advance
09:06:50,1 days,advance
09:07:36,1 days,advance
09:10:41,1 days,advance
09:11:33,1 days,advance
09:12:52,1 days,advance
09:29:56,0 days,off-peak
09:31:40,0 days,off-peak
09:33:01,1 days,advance
09:34:09,1 days,advance
09:35:29,1 days,advance
09:40:31,0 days,off-peak
09:44:27,0 days,off-peak
09:48:35,0 days,off-peak
09:55:08,0 days,off-peak
09:55:27,0 days,off-peak
09:59:08,1 days,advance
10:03:10,0 days,off-peak
10:15:13,0 days,off-peak
10:16:03,1 days,advance
10:19:11,13 days,advance
10:20:12,1 days,advance
10:22:28,0 days,off-peak
10:26:31,1 days,advance
10:27:14,0 days,off-peak
10:31:13,0 days,off-peak
10:34:47,1 days,advance
10:36:06,0 days,off-peak
10:36:34,1 days,advance
10:39:23,1 days,advance
10:42:40,0 days,off-peak
11:08:01,0 days,off-peak
11:16:28,0 days,off-peak
11:24:01,0 days,off-peak
11:27:25,0 days,off-peak
11:34:36,1 days,advance
11:36:11,0 days,off-peak
11:37:07,0 days,off-peak
11:39:34,0 days,off-peak
11:39:49,0 days,off-peak
11:41:11,0 days,off-peak
11:54:14,0 days,off-peak
11:55:11,0 days,off-peak
11:56:41,0 days,off-peak
12:06:02,1 days,advance
12:06:58,0 days,off-peak
12:09:08,0 days,off-peak
12:10:14,0 days,off-peak
12:11:16,0 days,off-peak
12:12:32,1 days,advance
12:14:36,0 days,off-peak
12:16:16,3 days,advance
12:18:48,0 days,off-peak
12:27:33,1 days,advance
12:37:56,0 days,off-peak
12:51:35,0 days,off-peak
12:52:39,0 days,off-peak
13:19:38,0 days,off-peak
13:20:28,0 days,off-peak
13:20:43,0 days,off-peak
13:24:01,0 days,off-peak
13:25:17,1 days,advance
13:26:24,1 days,advance
13:31:03,0 days,off-peak
13:40:57,1 days,advance
13:42:25,1 days,advance
13:44:16,0 days,off-peak
14:00:25,0 days,off-peak
14:02:24,0 days,off-peak
14:06:20,0 days,off-peak
14:12:14,0 days,off-peak
14:15:17,7 days,advance
14:21:13,0 days,off-peak
14:24:53,1 days,advance
14:25:17,0 days,off-peak
14:25:27,0 days,off-peak
14:27:20,0 days,off-peak
14:30:02,0 days,anytime
14:31:17,0 days,anytime
14:31:37,0 days,anytime
14:32:37,0 days,anytime
14:34:15,0 days,anytime
14:34:22,1 days,advance
14:36:04,0 days,anytime
14:39:19,0 days,anytime
14:42:42,0 days,anytime
14:42:49,0 days,anytime
14:43:19,0 days,anytime
14:43:24,0 days,anytime
14:44:49,0 days,anytime
14:51:35,1 days,advance
14:51:38,0 days,anytime
14:52:09,0 days,anytime
14:52:51,0 days,anytime
14:53:13,0 days,anytime
14:54:24,0 days,anytime
14:54:50,0 days,anytime
14:56:39,1 days,advance
14:57:00,0 days,anytime
14:58:48,0 days,anytime
15:01:02,0 days,anytime
15:01:57,1 days,advance
15:05:12,0 days,off-peak
15:09:45,7 days,advance
15:12:58,0 days,anytime
15:13:35,0 days,anytime
15:16:54,0 days,anytime
15:17:01,0 days,anytime
15:17:51,0 days,anytime
15:18:45,0 days,anytime
15:20:35,1 days,advance
15:24:14,0 days,anytime
15:33:18,0 days,anytime
15:33:54,1 days,advance
15:49:15,0 days,anytime
15:49:45,1 days,advance
15:51:07,0 days,anytime
15:52:03,0 days,anytime
15:57:42,0 days,anytime
16:01:16,0 days,anytime
16:02:27,0 days,anytime
16:02:30,0 days,anytime
16:05:38,0 days,anytime
16:09:07,0 days,anytime
16:09:34,0 days,anytime
16:10:34,0 days,anytime
16:13:49,0 days,anytime
16:13:49,0 days,anytime
16:14:08,0 days,anytime
16:14:16,15 days,advance
16:23:17,1 days,advance
16:28:58,0 days,anytime
16:41:54,1 days,advance
16:53:21,1 days,advance
16:58:14,0 days,anytime
16:59:18,0 days,anytime
17:03:02,0 days,anytime
17:06:45,0 days,anytime
17:10:03,0 days,anytime
17:10:46,0 days,anytime
17:16:12,1 days,advance
17:16:34,0 days,anytime
17:17:03,0 days,anytime
17:17:36,0 days,anytime
17:17:48,0 days,anytime
17:18:57,0 days,anytime
17:19:13,0 days,anytime
17:19:14,0 days,anytime
17:20:55,0 days,anytime
17:21:20,0 days,anytime
17:21:34,0 days,anytime
17:23:09,0 days,anytime
17:24:40,0 days,anytime
17:24:53,1 days,advance
17:25:16,0 days,anytime
17:26:56,0 days,anytime
17:27:51,0 days,anytime
17:28:00,0 days,anytime
17:28:53,0 days,anytime
17:29:27,0 days,anytime
17:30:12,1 days,advance
17:33:53,0 days,off-peak
17:37:03,1 days,advance
17:42:02,0 days,off-peak
17:44:20,0 days,off-peak
17:45:39,1 days,advance
17:46:03,0 days,off-peak
17:47:23,1 days,advance
17:52:35,13 days,advance
17:52:46,0 days,off-peak
17:57:20,0 days,off-peak
18:08:42,1 days,advance
18:10:36,1 days,advance
18:12:25,0 days,anytime
18:14:18,0 days,anytime
18:15:26,0 days,anytime
18:15:53,0 days,anytime
18:15:56,0 days,off-peak
18:16:05,0 days,off-peak
18:16:29,0 days,anytime
18:29:36,0 days,off-peak
18:30:42,7 days,advance
18:31:53,1 days,advance
18:36:20,0 days,off-peak
18:39:40,0 days,off-peak
18:42:28,6 days,advance
18:45:55,0 days,off-peak
18:50:11,0 days,off-peak
18:50:13,0 days,off-peak
18:53:24,1 days,advance
18:54:35,1 days,advance
18:55:48,1 days,advance
18:56:29,1 days,advance
18:58:51,0 days,off-peak
18:59:11,0 days,off-peak
19:06:36,0 days,off-peak
19:27:02,1 days,advance
19:30:48,1 days,advance
19:31:05,1 days,advance
19:33:05,3 days,advance
19:37:27,2 days,advance
19:38:01,0 days,off-peak
19:49:29,0 days,off-peak
19:50:26,0 days,off-peak
19:56:16,1 days,advance
19:59:49,0 days,off-peak
19:59:58,0 days,off-peak
20:02:59,0 days,off-peak
20:06:53,0 days,off-peak
20:10:26,0 days,off-peak
20:15:34,1 days,advance
20:17:12,1 days,advance
20:17:42,5 days,advance
20:17:43,1 days,advance
20:18:24,2 days,advance
20:18:37,1 days,advance
20:20:18,1 days,advance
20:20:19,2 days,advance
20:23:46,1 days,advance
20:25:31,4 days,advance
20:27:12,1 days,advance
20:28:47,1 days,advance
20:29:08,1 days,advance
20:30:51,0 days,off-peak
20:44:27,0 days,off-peak
20:44:31,1 days,advance
20:45:31,0 days,off-peak
20:52:22,0 days,off-peak
21:37:55,1 days,advance
22:05:48,8 days,advance
22:31:25,1 days,advance
23:00:33,1 days,advance
23:10:44,1 days,advance
23:12:25,1 days,advance
23:38:11,1 days,advance
23:48:14,2 days,advance
23:57:28,1 days,advance
00:01:12,0 days,off-peak
00:15:25,0 days,off-peak
00:21:29,28 days,advance
00:22:50,0 days,off-peak
00:26:26,0 days,off-peak
00:27:07,0 days,off-peak
00:30:53,22 days,advance
00:38:35,0 days,off-peak
00:40:16,0 days,off-peak
01:00:34,0 days,off-peak
01:03:02,0 days,off-peak
01:06:59,0 days,off-peak
01:08:36,0 days,off-peak
01:11:59,0 days,off-peak
01:12:01,0 days,off-peak
01:13:39,0 days,off-peak
01:15:19,1 days,advance
01:16:47,0 days,off-peak
01:35:14,1 days,advance
01:39:30,8 days,advance
01:55:38,0 days,off-peak
01:57:58,1 days,advance
02:15:53,1 days,advance
02:23:43,0 days,off-peak
02:25:14,1 days,advance
02:31:55,1 days,advance
02:36:00,0 days,off-peak
03:01:43,0 days,off-peak
03:02:52,0 days,off-peak
03:11:00,1 days,advance
03:36:03,0 days,off-peak
03:36:57,0 days,off-peak
03:37:41,1 days,advance
03:39:21,0 days,off-peak
03:40:32,0 days,off-peak
03:48:54,8 days,advance
03:50:57,1 days,advance
03:58:40,0 days,off-peak
04:06:09,0 days,off-peak
04:22:29,1 days,advance
04:45:34,0 days,anytime
04:51:04,0 days,anytime
04:51:44,0 days,anytime
04:51:59,0 days,anytime
04:53:19,0 days,anytime
04:53:39,0 days,anytime
04:54:25,0 days,anytime
04:58:31,0 days,anytime
04:58:49,0 days,anytime
04:59:32,0 days,anytime
05:00:14,0 days,anytime
05:01:38,0 days,anytime
05:04:45,0 days,anytime
05:07:20,1 days,advance
05:09:08,0 days,anytime
05:12:54,0 days,anytime
05:14:46,0 days,anytime
05:18:35,0 days,anytime
05:20:54,0 days,anytime
05:21:27,12 days,advance
05:45:02,1 days,advance
05:45:03,0 days,anytime
05:48:22,1 days,advance
05:48:23,1 days,advance
05:50:54,11 days,advance
05:51:48,0 days,anytime
05:56:09,2 days,advance
06:10:05,0 days,anytime
06:10:26,0 days,anytime
06:10:40,0 days,anytime
06:12:40,0 days,anytime
06:13:25,0 days,anytime
06:16:37,0 days,anytime
06:20:44,1 days,advance
06:31:19,0 days,anytime
06:31:40,0 days,anytime
06:38:32,0 days,anytime
06:41:55,0 days,anytime
06:46:44,0 days,anytime
07:08:08,0 days,anytime
07:16:00,0 days,anytime
07:18:22,1 days,advance
07:21:45,0 days,anytime
07:29:11,1 days,advance
07:33:01,1 days,advance
07:36:09,1 days,advance
07:40:44,0 days,off-peak
07:41:43,0 days,off-peak
07:44:15,0 days,off-peak
07:46:13,1 days,advance
07:51:27,0 days,off-peak
07:53:08,0 days,anytime
07:53:39,1 days,advance
07:56:21,5 days,advance
07:56:30,1 days,advance
07:59:12,1 days,advance
08:05:56,5 days,advance
08:09:02,4 days,advance
08:13:44,1 days,advance
08:13:44,1 days,advance
08:15:37,1 days,advance
08:16:12,1 days,advance
08:16:39,1 days,advance
08:17:27,0 days,off-peak
08:20:17,1 days,advance
08:22:30,1 days,advance
08:22:42,10 days,advance
08:23:30,1 days,advance
08:24:26,1 days,advance
08:26:10,0 days,off-peak
08:26:47,1 days,advance
08:26:50,2 days,advance
08:28:24,1 days,advance
09:00:02,0 days,off-peak
09:02:02,1 days,advance
09:07:51,1 days,advance
09:08:24,1 days,advance
09:11:50,1 days,advance
09:13:18,1 days,advance
09:14:53,0 days,off-peak
09:15:33,0 days,off-peak
09:21:59,1 days,advance
09:29:50,1 days,advance
09:30:29,0 days,off-peak
09:31:43,1 days,advance
09:34:56,0 days,off-peak
09:35:22,1 days,advance
09:40:58,1 days,advance
