Date of Journey,Route,Demand
2024-01-30,london st pancras-leicester,4
2024-01-30,london st pancras-wolverhampton,1
2024-01-30,manchester piccadilly-leeds,2
2024-01-30,manchester piccadilly-liverpool lime street,38
2024-01-30,manchester piccadilly-london euston,3
2024-01-30,manchester piccadilly-london paddington,1
2024-01-30,manchester piccadilly-nottingham,1
2024-01-30,manchester piccadilly-sheffield,2
2024-01-30,oxford-bristol temple meads,1
2024-01-30,reading-london paddington,1
2024-01-30,reading-oxford,2
2024-01-30,reading-swindon,2
2024-01-30,york-doncaster,2
2024-01-30,york-durham,2
2024-01-30,york-edinburgh,1
2024-01-30,york-peterborough,3
2024-01-31,birmingham new street-london euston,2
2024-01-31,birmingham new street-london kings cross,1
2024-01-31,birmingham new street-london st pancras,4
2024-01-31,birmingham new street-manchester piccadilly,1
2024-01-31,birmingham new street-stafford,3
2024-01-31,liverpool lime street-crewe,2
2024-01-31,liverpool lime street-leeds,1
2024-01-31,liverpool lime street-london euston,7
2024-01-31,liverpool lime street-london st pancras,1
2024-01-31,liverpool lime street-manchester piccadilly,21
2024-01-31,london euston-birmingham new street,43
2024-01-31,london euston-manchester piccadilly,5
2024-01-31,london euston-oxford,1
2024-01-31,london euston-york,1
2024-01-31,london kings cross-edinburgh waverley,3
2024-01-31,london kings cross-liverpool lime street,3
2024-01-31,london kings cross-york,39
2024-01-31,london paddington-liverpool lime street,1
2024-01-31,london paddington-oxford,4
2024-01-31,london paddington-reading,34
2024-01-31,london st pancras-birmingham new street,38
2024-01-31,london st pancras-leicester,4
2024-01-31,manchester piccadilly-liverpool lime street,49
2024-01-31,manchester piccadilly-london euston,6
2024-01-31,manchester piccadilly-sheffield,3
2024-01-31,oxford-bristol temple meads,1
2024-01-31,reading-didcot,1
2024-01-31,reading-liverpool lime street,1
2024-01-31,reading-london paddington,1
2024-01-31,reading-oxford,2
2024-01-31,reading-swindon,3
2024-01-31,york-doncaster,2
2024-01-31,york-durham,4
2024-01-31,york-edinburgh,1
2024-01-31,york-leeds,1
2024-01-31,york-peterborough,1
2024-02-01,birmingham new street-liverpool lime street,4
2024-02-01,birmingham new street-london st pancras,2
2024-02-01,birmingham new street-nuneaton,4
2024-02-01,birmingham new street-reading,1
2024-02-01,birmingham new street-tamworth,3
2024-02-01,birmingham new street-york,1
2024-02-01,edinburgh waverley-london kings cross,1
2024-02-01,liverpool lime street-crewe,2
2024-02-01,liverpool lime street-leeds,2
2024-02-01,liverpool lime street-london euston,8
2024-02-01,liverpool lime street-manchester piccadilly,31
2024-02-01,liverpool lime street-sheffield,1
2024-02-01,london euston-birmingham new street,45
2024-02-01,london euston-manchester piccadilly,6
2024-02-01,london kings cross-edinburgh waverley,2
2024-02-01,london kings cross-liverpool lime street,4
2024-02-01,london kings cross-york,31
2024-02-01,london paddington-oxford,3
2024-02-01,london paddington-reading,34
2024-02-01,london st pancras-birmingham new street,27
2024-02-01,london st pancras-leicester,2
2024-02-01,london st pancras-wolverhampton,2
2024-02-01,manchester piccadilly-leeds,1
2024-02-01,manchester piccadilly-liverpool lime street,43
2024-02-01,manchester piccadilly-london euston,2
2024-02-01,manchester piccadilly-london paddington,1
2024-02-01,manchester piccadilly-london st pancras,1
2024-02-01,manchester piccadilly-nottingham,1
2024-02-01,reading-didcot,1
2024-02-01,reading-london paddington,2
2024-02-01,reading-oxford,1
2024-02-01,reading-swindon,1
2024-02-01,york-doncaster,2
2024-02-01,york-durham,3
2024-02-01,york-edinburgh,1
2024-02-01,york-edinburgh waverley,1
2024-02-01,york-peterborough,3
2024-02-01,york-wakefield,1
2024-02-02,birmingham new street-liverpool lime street,2
2024-02-02,birmingham new street-london euston,3
2024-02-02,birmingham new street-london st pancras,2
2024-02-02,birmingham new street-manchester piccadilly,2
2024-02-02,birmingham new street-nuneaton,3
2024-02-02,birmingham new street-reading,1
2024-02-02,birmingham new street-tamworth,2
2024-02-02,birmingham new street-wolverhampton,1
2024-02-02,liverpool lime street-birmingham new street,1
2024-02-02,liverpool lime street-crewe,1
2024-02-02,liverpool lime street-london euston,10
2024-02-02,liverpool lime street-manchester piccadilly,30
2024-02-02,london euston-birmingham new street,33
2024-02-02,london euston-manchester piccadilly,9
2024-02-02,london kings cross-liverpool lime street,1
2024-02-02,london kings cross-york,45
2024-02-02,london paddington-london waterloo,1
2024-02-02,london paddington-oxford,1
2024-02-02,london paddington-reading,31
2024-02-02,london st pancras-birmingham new street,35
2024-02-02,london st pancras-leicester,3
2024-02-02,london st pancras-wolverhampton,1
2024-02-02,manchester piccadilly-leeds,1
2024-02-02,manchester piccadilly-liverpool lime street,36
2024-02-02,manchester piccadilly-london euston,4
2024-02-02,manchester piccadilly-london paddington,1
2024-02-02,manchester piccadilly-nottingham,1
2024-02-02,manchester piccadilly-sheffield,2
2024-02-02,oxford-bristol temple meads,1
2024-02-02,reading-birmingham new street,1
2024-02-02,reading-liverpool lime street,1
2024-02-02,reading-london paddington,1
2024-02-02,reading-oxford,1
2024-02-02,reading-swindon,1
2024-02-02,york-doncaster,1
2024-02-02,york-durham,3
2024-02-02,york-edinburgh,1
2024-02-02,york-leeds,1
2024-02-02,york-peterborough,3
2024-02-03,birmingham new street-coventry,1
2024-02-03,birmingham new street-liverpool lime street,4
2024-02-03,birmingham new street-london euston,2
2024-02-03,birmingham new street-london st pancras,6
2024-02-03,birmingham new street-manchester piccadilly,1
2024-02-03,birmingham new street-nuneaton,1
2024-02-03,birmingham new street-reading,1
2024-02-03,birmingham new street-stafford,2
2024-02-03,liverpool lime street-leeds,2
2024-02-03,liverpool lime street-london euston,16
2024-02-03,liverpool lime street-manchester piccadilly,22
2024-02-03,liverpool lime street-sheffield,2
2024-02-03,london euston-birmingham new street,36
2024-02-03,london euston-manchester piccadilly,5
2024-02-03,london euston-york,1
2024-02-03,london kings cross-edinburgh waverley,2
2024-02-03,london kings cross-liverpool lime street,1
2024-02-03,london kings cross-york,42
2024-02-03,london paddington-oxford,4
2024-02-03,london paddington-reading,35
2024-02-03,london st pancras-birmingham new street,28
2024-02-03,london st pancras-leicester,1
2024-02-03,manchester piccadilly-leeds,1
2024-02-03,manchester piccadilly-liverpool lime street,38
2024-02-03,manchester piccadilly-london euston,2
2024-02-03,manchester piccadilly-nottingham,1
2024-02-03,manchester piccadilly-sheffield,3
2024-02-03,manchester piccadilly-york,1
2024-02-03,oxford-bristol temple meads,2
2024-02-03,reading-didcot,1
2024-02-03,reading-oxford,1
2024-02-03,reading-swindon,1
2024-02-03,york-durham,3
2024-02-03,york-edinburgh,2
2024-02-04,birmingham new street-edinburgh,1
2024-02-04,birmingham new street-liverpool lime street,2
2024-02-04,birmingham new street-london st pancras,4
2024-02-04,birmingham new street-manchester piccadilly,6
2024-02-04,birmingham new street-nuneaton,3
2024-02-04,birmingham new street-stafford,3
2024-02-04,birmingham new street-tamworth,1
2024-02-04,birmingham new street-york,1
2024-02-04,edinburgh waverley-london kings cross,1
2024-02-04,liverpool lime street-crewe,2
2024-02-04,liverpool lime street-london euston,10
2024-02-04,liverpool lime street-london paddington,1
2024-02-04,liverpool lime street-manchester piccadilly,35
2024-02-04,london euston-birmingham new street,37
2024-02-04,london euston-manchester piccadilly,3
2024-02-04,london kings cross-edinburgh waverley,2
2024-02-04,london kings cross-liverpool lime street,1
2024-02-04,london kings cross-york,31
2024-02-04,london paddington-london waterloo,4
2024-02-04,london paddington-oxford,4
2024-02-04,london paddington-reading,41
2024-02-04,london st pancras-birmingham new street,24
2024-02-04,london st pancras-leicester,5
2024-02-04,london st pancras-wolverhampton,1
2024-02-04,manchester piccadilly-liverpool lime street,45
2024-02-04,manchester piccadilly-london euston,2
2024-02-04,manchester piccadilly-london paddington,2
2024-02-04,manchester piccadilly-nottingham,2
2024-02-04,manchester piccadilly-sheffield,1
2024-02-04,oxford-bristol temple meads,2
2024-02-04,reading-london paddington,1
2024-02-04,reading-oxford,1
2024-02-04,reading-swindon,2
2024-02-04,york-doncaster,1
2024-02-04,york-durham,1
2024-02-04,york-edinburgh,2
2024-02-04,york-edinburgh waverley,1
2024-02-04,york-peterborough,4
2024-02-05,birmingham new street-london euston,1
2024-02-05,birmingham new street-london kings cross,1
2024-02-05,birmingham new street-london st pancras,5
2024-02-05,birmingham new street-manchester piccadilly,1
2024-02-05,birmingham new street-nuneaton,3
2024-02-05,birmingham new street-reading,1
2024-02-05,birmingham new street-stafford,1
2024-02-05,birmingham new street-tamworth,4
2024-02-05,liverpool lime street-leeds,1
2024-02-05,liverpool lime street-london euston,6
2024-02-05,liverpool lime street-manchester piccadilly,17
2024-02-05,london euston-birmingham new street,35
2024-02-05,london euston-manchester piccadilly,8
2024-02-05,london euston-york,1
2024-02-05,london kings cross-edinburgh waverley,1
2024-02-05,london kings cross-liverpool lime street,2
2024-02-05,london kings cross-york,32
2024-02-05,london paddington-london waterloo,2
2024-02-05,london paddington-oxford,9
2024-02-05,london paddington-reading,23
2024-02-05,london st pancras-birmingham new street,39
2024-02-05,london st pancras-leicester,5
2024-02-05,london st pancras-wolverhampton,1
2024-02-05,manchester piccadilly-leeds,2
2024-02-05,manchester piccadilly-liverpool lime street,30
2024-02-05,manchester piccadilly-london euston,1
2024-02-05,manchester piccadilly-nottingham,1
2024-02-05,manchester piccadilly-sheffield,1
2024-02-05,manchester piccadilly-warrington,1
2024-02-05,oxford-bristol temple meads,1
2024-02-05,york-doncaster,2
2024-02-05,york-durham,5
2024-02-05,york-edinburgh,1
2024-02-05,york-liverpool lime street,1
2024-02-05,york-peterborough,2
2024-02-06,birmingham new street-liverpool lime street,1
2024-02-06,birmingham new street-london st pancras,8
2024-02-06,birmingham new street-manchester piccadilly,2
2024-02-06,birmingham new street-nuneaton,1
2024-02-06,birmingham new street-stafford,4
2024-02-06,birmingham new street-tamworth,1
2024-02-06,birmingham new street-york,2
2024-02-06,liverpool lime street-crewe,4
2024-02-06,liverpool lime street-london euston,9
2024-02-06,liverpool lime street-manchester piccadilly,22
2024-02-06,liverpool lime street-sheffield,1
2024-02-06,london euston-birmingham new street,30
2024-02-06,london euston-manchester piccadilly,7
2024-02-06,london kings cross-edinburgh waverley,1
2024-02-06,london kings cross-liverpool lime street,1
2024-02-06,london kings cross-york,30
2024-02-06,london paddington-london waterloo,2
2024-02-06,london paddington-oxford,2
2024-02-06,london paddington-reading,32
2024-02-06,london st pancras-birmingham new street,38
2024-02-06,london st pancras-leicester,2
2024-02-06,london st pancras-wolverhampton,2
2024-02-06,manchester piccadilly-leeds,2
2024-02-06,manchester piccadilly-liverpool lime street,41
2024-02-06,manchester piccadilly-london euston,5
2024-02-06,manchester piccadilly-sheffield,1
2024-02-06,oxford-bristol temple meads,1
2024-02-06,reading-didcot,1
2024-02-06,reading-oxford,1
2024-02-06,reading-swindon,1
2024-02-06,york-doncaster,2
2024-02-06,york-durham,1
2024-02-06,york-edinburgh,1
2024-02-06,york-peterborough,1
2024-02-07,birmingham new street-coventry,1
2024-02-07,birmingham new street-liverpool lime street,3
2024-02-07,birmingham new street-london euston,1
2024-02-07,birmingham new street-london st pancras,2
2024-02-07,birmingham new street-manchester piccadilly,2
2024-02-07,birmingham new street-stafford,3
2024-02-07,birmingham new street-tamworth,2
2024-02-07,birmingham new street-york,1
2024-02-07,liverpool lime street-crewe,1
2024-02-07,liverpool lime street-leeds,4
2024-02-07,liverpool lime street-london euston,11
2024-02-07,liverpool lime street-london paddington,1
2024-02-07,liverpool lime street-london st pancras,1
2024-02-07,liverpool lime street-manchester piccadilly,26
2024-02-07,london euston-birmingham new street,30
2024-02-07,london euston-manchester piccadilly,10
2024-02-07,london kings cross-edinburgh waverley,1
2024-02-07,london kings cross-york,26
2024-02-07,london paddington-london waterloo,2
2024-02-07,london paddington-oxford,5
2024-02-07,london paddington-reading,22
2024-02-07,london st pancras-birmingham new street,30
2024-02-07,london st pancras-leicester,1
2024-02-07,london st pancras-wolverhampton,3
2024-02-07,manchester piccadilly-leeds,1
2024-02-07,manchester piccadilly-liverpool lime street,31
2024-02-07,manchester piccadilly-london euston,2
2024-02-07,manchester piccadilly-nottingham,1
2024-02-07,manchester piccadilly-sheffield,1
2024-02-07,reading-london paddington,1
2024-02-07,reading-oxford,1
2024-02-07,reading-swindon,3
2024-02-07,york-doncaster,2
2024-02-07,york-durham,2
2024-02-07,york-edinburgh,2
2024-02-07,york-peterborough,2
2024-02-08,birmingham new street-coventry,1
2024-02-08,birmingham new street-liverpool lime street,2
2024-02-08,birmingham new street-london euston,1
2024-02-08,birmingham new street-london st pancras,4
2024-02-08,birmingham new street-nuneaton,3
2024-02-08,birmingham new street-reading,1
2024-02-08,birmingham new street-stafford,4
2024-02-08,birmingham new street-tamworth,2
2024-02-08,birmingham new street-york,1
2024-02-08,liverpool lime street-crewe,1
2024-02-08,liverpool lime street-london euston,9
2024-02-08,liverpool lime street-london st pancras,3
2024-02-08,liverpool lime street-manchester piccadilly,28
2024-02-08,liverpool lime street-sheffield,2
2024-02-08,london euston-birmingham new street,37
2024-02-08,london euston-manchester piccadilly,3
2024-02-08,london kings cross-edinburgh waverley,1
2024-02-08,london kings cross-liverpool lime street,1
2024-02-08,london kings cross-york,33
2024-02-08,london paddington-oxford,4
2024-02-08,london paddington-reading,30
2024-02-08,london st pancras-birmingham new street,37
2024-02-08,london st pancras-leicester,2
2024-02-08,manchester piccadilly-leeds,1
2024-02-08,manchester piccadilly-liverpool lime street,38
2024-02-08,manchester piccadilly-london euston,2
2024-02-08,manchester piccadilly-london paddington,2
2024-02-08,manchester piccadilly-nottingham,2
2024-02-08,manchester piccadilly-sheffield,4
2024-02-08,reading-swindon,2
2024-02-08,york-durham,5
2024-02-08,york-edinburgh,1
2024-02-08,york-liverpool lime street,2
2024-02-09,birmingham new street-coventry,1
2024-02-09,birmingham new street-liverpool lime street,1
2024-02-09,birmingham new street-london euston,2
2024-02-09,birmingham new street-london st pancras,8
2024-02-09,birmingham new street-manchester piccadilly,4
2024-02-09,birmingham new street-reading,1
2024-02-09,birmingham new street-stafford,3
2024-02-09,birmingham new street-tamworth,1
2024-02-09,birmingham new street-york,1
2024-02-09,liverpool lime street-crewe,3
2024-02-09,liverpool lime street-leeds,3
2024-02-09,liverpool lime street-london euston,10
2024-02-09,liverpool lime street-manchester piccadilly,25
2024-02-09,liverpool lime street-sheffield,1
2024-02-09,london euston-birmingham new street,32
2024-02-09,london euston-manchester piccadilly,3
2024-02-09,london kings cross-edinburgh waverley,2
2024-02-09,london kings cross-liverpool lime street,1
2024-02-09,london kings cross-york,30
2024-02-09,london paddington-liverpool lime street,1
2024-02-09,london paddington-manchester piccadilly,1
2024-02-09,london paddington-oxford,4
2024-02-09,london paddington-reading,41
2024-02-09,london st pancras-birmingham new street,22
2024-02-09,london st pancras-leicester,1
2024-02-09,manchester piccadilly-leeds,3
2024-02-09,manchester piccadilly-liverpool lime street,38
2024-02-09,manchester piccadilly-london euston,6
2024-02-09,manchester piccadilly-nottingham,3
2024-02-09,manchester piccadilly-sheffield,4
2024-02-09,oxford-bristol temple meads,3
2024-02-09,reading-oxford,2
2024-02-09,reading-swindon,2
2024-02-09,york-doncaster,1
2024-02-09,york-edinburgh waverley,1
2024-02-09,york-leeds,1
2024-02-09,york-peterborough,4
2024-02-10,birmingham new street-coventry,1
2024-02-10,birmingham new street-london euston,3
2024-02-10,birmingham new street-london st pancras,4
2024-02-10,birmingham new street-manchester piccadilly,2
2024-02-10,birmingham new street-nuneaton,1
2024-02-10,birmingham new street-stafford,2
2024-02-10,birmingham new street-tamworth,3
2024-02-10,liverpool lime street-crewe,3
2024-02-10,liverpool lime street-leeds,1
2024-02-10,liverpool lime street-london euston,12
2024-02-10,liverpool lime street-manchester piccadilly,27
2024-02-10,london euston-birmingham new street,31
2024-02-10,london euston-manchester piccadilly,5
2024-02-10,london kings cross-edinburgh waverley,1
2024-02-10,london kings cross-liverpool lime street,3
2024-02-10,london kings cross-york,33
2024-02-10,london paddington-oxford,4
2024-02-10,london paddington-reading,29
2024-02-10,london st pancras-birmingham new street,27
2024-02-10,london st pancras-leicester,1
2024-02-10,manchester piccadilly-leeds,1
2024-02-10,manchester piccadilly-liverpool lime street,41
2024-02-10,manchester piccadilly-london euston,2
2024-02-10,manchester piccadilly-london kings cross,1
2024-02-10,manchester piccadilly-nottingham,1
2024-02-10,manchester piccadilly-sheffield,1
2024-02-10,manchester piccadilly-warrington,1
2024-02-10,oxford-bristol temple meads,1
2024-02-10,reading-liverpool lime street,1
2024-02-10,reading-london paddington,1
2024-02-10,reading-oxford,1
2024-02-10,reading-swindon,3
2024-02-10,york-doncaster,3
2024-02-10,york-durham,2
2024-02-10,york-edinburgh,2
2024-02-10,york-peterborough,3
2024-02-11,birmingham new street-liverpool lime street,2
2024-02-11,birmingham new street-london euston,2
2024-02-11,birmingham new street-london kings cross,1
2024-02-11,birmingham new street-london st pancras,2
2024-02-11,birmingham new street-manchester piccadilly,3
2024-02-11,birmingham new street-nuneaton,2
2024-02-11,birmingham new street-stafford,2
2024-02-11,birmingham new street-tamworth,2
2024-02-11,liverpool lime street-london euston,6
2024-02-11,liverpool lime street-london st pancras,1
2024-02-11,liverpool lime street-manchester piccadilly,23
2024-02-11,liverpool lime street-sheffield,1
2024-02-11,london euston-birmingham new street,40
2024-02-11,london euston-manchester piccadilly,6
2024-02-11,london kings cross-liverpool lime street,1
2024-02-11,london kings cross-york,36
2024-02-11,london paddington-london waterloo,1
2024-02-11,london paddington-oxford,3
2024-02-11,london paddington-reading,31
2024-02-11,london st pancras-birmingham new street,24
2024-02-11,london st pancras-leicester,2
2024-02-11,london st pancras-wolverhampton,2
2024-02-11,manchester piccadilly-liverpool lime street,32
2024-02-11,manchester piccadilly-london euston,1
2024-02-11,manchester piccadilly-nottingham,1
2024-02-11,manchester piccadilly-sheffield,2
2024-02-11,oxford-bristol temple meads,2
2024-02-11,reading-liverpool lime street,1
2024-02-11,reading-oxford,2
2024-02-11,reading-swindon,1
2024-02-11,york-doncaster,1
2024-02-11,york-durham,4
2024-02-11,york-edinburgh,4
2024-02-11,york-peterborough,1
2024-02-12,birmingham new street-coventry,1
2024-02-12,birmingham new street-liverpool lime street,2
2024-02-12,birmingham new street-london kings cross,1
2024-02-12,birmingham new street-london st pancras,6
2024-02-12,birmingham new street-manchester piccadilly,1
2024-02-12,birmingham new street-nuneaton,1
2024-02-12,birmingham new street-stafford,2
2024-02-12,birmingham new street-tamworth,5
2024-02-12,liverpool lime street-crewe,2
2024-02-12,liverpool lime street-leeds,1
2024-02-12,liverpool lime street-london euston,10
2024-02-12,liverpool lime street-london st pancras,1
2024-02-12,liverpool lime street-manchester piccadilly,22
2024-02-12,liverpool lime street-sheffield,1
2024-02-12,london euston-birmingham new street,36
2024-02-12,london euston-manchester piccadilly,7
2024-02-12,london kings cross-edinburgh waverley,3
2024-02-12,london kings cross-york,35
2024-02-12,london paddington-oxford,5
2024-02-12,london paddington-reading,31
2024-02-12,london st pancras-birmingham new street,31
2024-02-12,london st pancras-leicester,6
2024-02-12,london st pancras-wolverhampton,1
2024-02-12,manchester piccadilly-leeds,2
2024-02-12,manchester piccadilly-liverpool lime street,26
2024-02-12,manchester piccadilly-london euston,5
2024-02-12,manchester piccadilly-london paddington,1
2024-02-12,manchester piccadilly-nottingham,3
2024-02-12,manchester piccadilly-sheffield,3
2024-02-12,oxford-bristol temple meads,3
2024-02-12,reading-london paddington,1
2024-02-12,reading-swindon,4
2024-02-12,york-birmingham new street,1
2024-02-12,york-doncaster,1
2024-02-12,york-durham,3
2024-02-12,york-peterborough,5
2024-02-13,birmingham new street-coventry,1
2024-02-13,birmingham new street-london st pancras,7
2024-02-13,birmingham new street-manchester piccadilly,1
2024-02-13,birmingham new street-nuneaton,2
2024-02-13,birmingham new street-stafford,1
2024-02-13,birmingham new street-tamworth,2
2024-02-13,liverpool lime street-birmingham new street,1
2024-02-13,liverpool lime street-crewe,1
2024-02-13,liverpool lime street-leeds,1
2024-02-13,liverpool lime street-london euston,13
2024-02-13,liverpool lime street-manchester piccadilly,19
2024-02-13,liverpool lime street-sheffield,1
2024-02-13,london euston-birmingham new street,34
2024-02-13,london euston-manchester piccadilly,4
2024-02-13,london euston-oxford,1
2024-02-13,london kings cross-edinburgh waverley,1
2024-02-13,london kings cross-liverpool lime street,2
2024-02-13,london kings cross-york,36
2024-02-13,london paddington-oxford,6
2024-02-13,london paddington-reading,30
2024-02-13,london st pancras-birmingham new street,28
2024-02-13,london st pancras-leicester,5
2024-02-13,manchester piccadilly-leeds,1
2024-02-13,manchester piccadilly-liverpool lime street,29
2024-02-13,manchester piccadilly-london euston,4
2024-02-13,manchester piccadilly-london paddington,1
2024-02-13,manchester piccadilly-nottingham,1
2024-02-13,manchester piccadilly-sheffield,1
2024-02-13,oxford-bristol temple meads,8
2024-02-13,reading-liverpool lime street,1
2024-02-13,reading-london paddington,1
2024-02-13,reading-oxford,1
2024-02-13,reading-swindon,1
2024-02-13,york-doncaster,1
2024-02-13,york-durham,1
2024-02-13,york-peterborough,1
2024-02-14,birmingham new street-liverpool lime street,1
2024-02-14,birmingham new street-london euston,1
2024-02-14,birmingham new street-london st pancras,7
2024-02-14,birmingham new street-manchester piccadilly,3
2024-02-14,birmingham new street-nuneaton,2
2024-02-14,birmingham new street-wolverhampton,1
2024-02-14,liverpool lime street-leeds,1
2024-02-14,liverpool lime street-london euston,12
2024-02-14,liverpool lime street-manchester piccadilly,27
2024-02-14,london euston-birmingham new street,38
2024-02-14,london euston-manchester piccadilly,12
2024-02-14,london kings cross-liverpool lime street,1
2024-02-14,london kings cross-york,31
2024-02-14,london paddington-manchester piccadilly,1
2024-02-14,london paddington-oxford,3
2024-02-14,london paddington-reading,36
2024-02-14,london st pancras-birmingham new street,33
2024-02-14,london st pancras-leicester,5
2024-02-14,london st pancras-wolverhampton,3
2024-02-14,manchester piccadilly-leeds,1
2024-02-14,manchester piccadilly-liverpool lime street,43
2024-02-14,manchester piccadilly-london euston,3
2024-02-14,manchester piccadilly-nottingham,1
2024-02-14,manchester piccadilly-sheffield,1
2024-02-14,oxford-bristol temple meads,1
2024-02-14,reading-didcot,1
2024-02-14,reading-london paddington,1
2024-02-14,reading-oxford,1
2024-02-14,york-doncaster,2
2024-02-14,york-durham,2
2024-02-14,york-edinburgh,1
2024-02-14,york-peterborough,1
2024-02-15,birmingham new street-edinburgh,1
2024-02-15,birmingham new street-liverpool lime street,3
2024-02-15,birmingham new street-london euston,4
2024-02-15,birmingham new street-london st pancras,4
2024-02-15,birmingham new street-manchester piccadilly,5
2024-02-15,birmingham new street-nuneaton,2
2024-02-15,birmingham new street-stafford,3
2024-02-15,birmingham new street-tamworth,5
2024-02-15,liverpool lime street-london euston,8
2024-02-15,liverpool lime street-manchester piccadilly,25
2024-02-15,london euston-birmingham new street,36
2024-02-15,london euston-manchester piccadilly,4
2024-02-15,london kings cross-edinburgh waverley,1
2024-02-15,london kings cross-liverpool lime street,1
2024-02-15,london kings cross-york,25
2024-02-15,london paddington-oxford,3
2024-02-15,london paddington-reading,40
2024-02-15,london st pancras-birmingham new street,30
2024-02-15,london st pancras-leicester,2
2024-02-15,manchester piccadilly-liverpool lime street,30
2024-02-15,manchester piccadilly-london euston,7
2024-02-15,manchester piccadilly-london paddington,1
2024-02-15,manchester piccadilly-london st pancras,1
2024-02-15,manchester piccadilly-sheffield,1
2024-02-15,manchester piccadilly-warrington,1
2024-02-15,manchester piccadilly-york,1
2024-02-15,oxford-bristol temple meads,2
2024-02-15,reading-didcot,1
2024-02-15,reading-london paddington,1
2024-02-15,reading-oxford,1
2024-02-15,reading-swindon,1
2024-02-15,york-doncaster,3
2024-02-15,york-durham,3
2024-02-15,york-edinburgh,1
2024-02-15,york-peterborough,1
2024-02-16,birmingham new street-liverpool lime street,1
2024-02-16,birmingham new street-london euston,1
2024-02-16,birmingham new street-london paddington,1
2024-02-16,birmingham new street-london st pancras,3
2024-02-16,birmingham new street-manchester piccadilly,1
2024-02-16,birmingham new street-stafford,1
2024-02-16,birmingham new street-tamworth,1
2024-02-16,birmingham new street-wolverhampton,1
2024-02-16,bristol temple meads-cardiff central,1
2024-02-16,liverpool lime street-birmingham new street,1
2024-02-16,liverpool lime street-crewe,1
2024-02-16,liverpool lime street-leeds,1
2024-02-16,liverpool lime street-london euston,8
2024-02-16,liverpool lime street-london st pancras,2
2024-02-16,liverpool lime street-manchester piccadilly,24
2024-02-16,liverpool lime street-sheffield,1
2024-02-16,london euston-birmingham new street,27
2024-02-16,london euston-manchester piccadilly,7
2024-02-16,london kings cross-edinburgh waverley,2
2024-02-16,london kings cross-liverpool lime street,1
2024-02-16,london kings cross-york,29
2024-02-16,london paddington-liverpool lime street,1
2024-02-16,london paddington-oxford,2
2024-02-16,london paddington-reading,28
2024-02-16,london st pancras-birmingham new street,27
2024-02-16,london st pancras-leicester,3
2024-02-16,london st pancras-wolverhampton,1
2024-02-16,manchester piccadilly-leeds,1
2024-02-16,manchester piccadilly-liverpool lime street,38
2024-02-16,manchester piccadilly-london euston,2
2024-02-16,manchester piccadilly-london kings cross,1
2024-02-16,manchester piccadilly-london paddington,1
2024-02-16,manchester piccadilly-london st pancras,1
2024-02-16,manchester piccadilly-nottingham,3
2024-02-16,manchester piccadilly-sheffield,1
2024-02-16,reading-london paddington,2
2024-02-16,reading-swindon,3
2024-02-16,york-doncaster,3
2024-02-16,york-durham,2
2024-02-16,york-edinburgh,1
2024-02-16,york-edinburgh waverley,1
2024-02-16,york-peterborough,3
2024-02-17,birmingham new street-liverpool lime street,2
2024-02-17,birmingham new street-london st pancras,7
2024-02-17,birmingham new street-manchester piccadilly,1
2024-02-17,birmingham new street-nuneaton,3
2024-02-17,birmingham new street-stafford,1
2024-02-17,birmingham new street-tamworth,1
2024-02-17,liverpool lime street-crewe,2
2024-02-17,liverpool lime street-london euston,6
2024-02-17,liverpool lime street-manchester piccadilly,16
2024-02-17,london euston-birmingham new street,35
2024-02-17,london euston-manchester piccadilly,4
2024-02-17,london kings cross-liverpool lime street,3
2024-02-17,london kings cross-york,34
2024-02-17,london paddington-liverpool lime street,1
2024-02-17,london paddington-manchester piccadilly,1
2024-02-17,london paddington-oxford,2
2024-02-17,london paddington-reading,28
2024-02-17,london st pancras-birmingham new street,26
2024-02-17,london st pancras-leicester,4
2024-02-17,london st pancras-wolverhampton,1
2024-02-17,manchester piccadilly-leeds,2
2024-02-17,manchester piccadilly-liverpool lime street,40
2024-02-17,manchester piccadilly-london euston,4
2024-02-17,manchester piccadilly-nottingham,2
2024-02-17,manchester piccadilly-york,1
2024-02-17,oxford-bristol temple meads,1
2024-02-17,reading-didcot,2
2024-02-17,reading-london paddington,4
2024-02-17,reading-oxford,1
2024-02-17,reading-swindon,1
2024-02-17,york-doncaster,3
2024-02-17,york-durham,1
2024-02-17,york-edinburgh,1
2024-02-17,york-peterborough,3
2024-02-18,birmingham new street-liverpool lime street,2
2024-02-18,birmingham new street-london paddington,1
2024-02-18,birmingham new street-london st pancras,4
2024-02-18,birmingham new street-manchester piccadilly,2
2024-02-18,birmingham new street-nuneaton,2
2024-02-18,birmingham new street-stafford,2
2024-02-18,birmingham new street-tamworth,1
2024-02-18,bristol temple meads-cardiff central,1
2024-02-18,edinburgh waverley-london kings cross,1
2024-02-18,liverpool lime street-crewe,2
2024-02-18,liverpool lime street-leeds,1
2024-02-18,liverpool lime street-london euston,6
2024-02-18,liverpool lime street-london st pancras,1
2024-02-18,liverpool lime street-manchester piccadilly,27
2024-02-18,liverpool lime street-sheffield,1
2024-02-18,london euston-birmingham new street,31
2024-02-18,london euston-manchester piccadilly,9
2024-02-18,london euston-oxford,1
2024-02-18,london kings cross-edinburgh waverley,1
2024-02-18,london kings cross-liverpool lime street,1
2024-02-18,london kings cross-york,28
