Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,15 days
off-peak,standard,birmingham new street,reading,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,4 days
off-peak,first class,liverpool lime street,manchester piccadilly,disabled,0 days
advance,standard,london kings cross,york,no railcard,22 days
advance,standard,london kings cross,york,no railcard,26 days
off-peak,standard,london kings cross,york,adult,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london paddington,reading,no railcard,9 days
advance,standard,london kings cross,york,no railcard,15 days
advance,standard,london euston,birmingham new street,no railcard,13 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,birmingham new street,london st pancras,no railcard,0 days
advance,standard,manchester piccadilly,london paddington,no railcard,1 days
advance,standard,york,durham,no railcard,8 days
advance,standard,manchester piccadilly,london paddington,no railcard,9 days
advance,standard,london st pancras,birmingham new street,adult,25 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,21 days
advance,first class,liverpool lime street,manchester piccadilly,no railcard,7 days
advance,standard,london paddington,reading,no railcard,12 days
off-peak,standard,liverpool lime street,london euston,adult,0 days
advance,standard,liverpool lime street,manchester piccadilly,senior,25 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,disabled,15 days
advance,standard,london euston,birmingham new street,disabled,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
off-peak,standard,london euston,manchester piccadilly,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,oxford,bristol temple meads,adult,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london paddington,reading,disabled,26 days
off-peak,standard,london kings cross,york,adult,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
off-peak,standard,london euston,birmingham new street,adult,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,5 days
advance,standard,manchester piccadilly,london euston,no railcard,23 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,manchester piccadilly,london euston,no railcard,25 days
advance,standard,london kings cross,york,no railcard,12 days
off-peak,standard,birmingham new street,stafford,no railcard,0 days
advance,standard,manchester piccadilly,london euston,no railcard,12 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
off-peak,first class,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london kings cross,york,adult,3 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london euston,birmingham new street,senior,0 days
advance,first class,london st pancras,birmingham new street,no railcard,11 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,standard,london euston,birmingham new street,adult,20 days
advance,first class,london paddington,reading,disabled,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,reading,swindon,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,22 days
advance,standard,london st pancras,birmingham new street,no railcard,13 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,19 days
off-peak,standard,liverpool lime street,london euston,no railcard,0 days
off-peak,standard,liverpool lime street,london euston,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,13 days
off-peak,standard,liverpool lime street,london euston,no railcard,0 days
off-peak,first class,birmingham new street,liverpool lime street,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,liverpool lime street,london euston,no railcard,0 days
off-peak,first class,liverpool lime street,london euston,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,6 days
advance,standard,london kings cross,york,no railcard,23 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,first class,london paddington,reading,disabled,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london kings cross,liverpool lime street,adult,26 days
off-peak,standard,london paddington,oxford,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,16 days
advance,standard,oxford,bristol temple meads,adult,20 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,manchester piccadilly,leeds,adult,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london paddington,reading,senior,1 days
advance,standard,london paddington,reading,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,13 days
off-peak,standard,london kings cross,edinburgh waverley,disabled,0 days
advance,first class,london euston,birmingham new street,no railcard,7 days
off-peak,standard,london kings cross,edinburgh waverley,disabled,0 days
advance,standard,london kings cross,york,no railcard,8 days
advance,standard,london paddington,reading,senior,15 days
advance,standard,london paddington,reading,senior,21 days
advance,first class,london euston,birmingham new street,no railcard,1 days
advance,standard,york,doncaster,disabled,25 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,10 days
advance,standard,birmingham new street,stafford,no railcard,19 days
advance,standard,london st pancras,wolverhampton,disabled,1 days
advance,standard,birmingham new street,london st pancras,disabled,1 days
advance,standard,london euston,birmingham new street,adult,25 days
advance,first class,london euston,birmingham new street,adult,1 days
advance,standard,london st pancras,birmingham new street,no railcard,24 days
advance,standard,london euston,birmingham new street,no railcard,10 days
advance,standard,london euston,manchester piccadilly,no railcard,8 days
advance,standard,york,doncaster,disabled,4 days
advance,standard,london paddington,reading,no railcard,22 days
advance,standard,york,doncaster,disabled,20 days
advance,standard,birmingham new street,london st pancras,disabled,22 days
advance,standard,birmingham new street,nuneaton,no railcard,20 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,25 days
advance,first class,london paddington,oxford,no railcard,5 days
advance,standard,london paddington,oxford,no railcard,1 days
advance,standard,london kings cross,york,no railcard,10 days
advance,standard,london paddington,reading,no railcard,6 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days
advance,standard,london paddington,oxford,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,10 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,york,peterborough,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london kings cross,york,no railcard,9 days
advance,standard,london paddington,london waterloo,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,3 days
advance,standard,york,peterborough,no railcard,16 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,7 days
advance,standard,london paddington,london waterloo,no railcard,1 days
advance,standard,london paddington,reading,no railcard,21 days
advance,standard,london kings cross,york,no railcard,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
advance,standard,york,peterborough,no railcard,1 days
advance,standard,york,peterborough,no railcard,6 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,york,edinburgh,adult,0 days
advance,standard,liverpool lime street,london euston,no railcard,13 days
advance,standard,liverpool lime street,london euston,no railcard,10 days
advance,standard,reading,oxford,no railcard,21 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,birmingham new street,liverpool lime street,adult,0 days
advance,first class,liverpool lime street,london euston,no railcard,18 days
advance,standard,london euston,manchester piccadilly,disabled,3 days
advance,standard,liverpool lime street,london euston,no railcard,12 days
advance,standard,london euston,manchester piccadilly,no railcard,2 days
advance,standard,london kings cross,liverpool lime street,adult,6 days
advance,standard,london euston,birmingham new street,disabled,13 days
advance,standard,london euston,birmingham new street,disabled,10 days
advance,standard,london euston,birmingham new street,no railcard,20 days
advance,standard,manchester piccadilly,sheffield,no railcard,1 days
advance,standard,manchester piccadilly,leeds,no railcard,22 days
advance,standard,manchester piccadilly,liverpool lime street,adult,24 days
advance,standard,london paddington,reading,no railcard,21 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
advance,standard,london euston,birmingham new street,senior,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,14 days
advance,standard,liverpool lime street,london paddington,no railcard,1 days
advance,standard,london kings cross,york,no railcard,13 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,senior,4 days
advance,standard,london euston,birmingham new street,no railcard,5 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,24 days
off-peak,first class,manchester piccadilly,liverpool lime street,disabled,0 days
advance,standard,london paddington,reading,no railcard,24 days
advance,standard,london euston,birmingham new street,no railcard,23 days
advance,standard,manchester piccadilly,nottingham,adult,1 days
advance,first class,manchester piccadilly,liverpool lime street,senior,1 days
off-peak,standard,birmingham new street,manchester piccadilly,adult,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,16 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,london kings cross,york,adult,24 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london kings cross,york,adult,17 days
off-peak,standard,london paddington,reading,disabled,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,birmingham new street,manchester piccadilly,adult,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,first class,liverpool lime street,manchester piccadilly,adult,8 days
advance,standard,birmingham new street,manchester piccadilly,adult,8 days
advance,standard,london euston,birmingham new street,no railcard,4 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,9 days
off-peak,standard,liverpool lime street,sheffield,no railcard,0 days
advance,first class,london st pancras,birmingham new street,no railcard,14 days
advance,standard,london st pancras,birmingham new street,no railcard,4 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,first class,london st pancras,birmingham new street,adult,17 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,first class,liverpool lime street,manchester piccadilly,adult,7 days
off-peak,standard,london paddington,reading,adult,0 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
advance,standard,london paddington,reading,disabled,10 days
advance,standard,london kings cross,york,senior,5 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,first class,london kings cross,york,no railcard,8 days
advance,standard,liverpool lime street,manchester piccadilly,adult,6 days
advance,standard,london kings cross,york,senior,1 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
advance,standard,london st pancras,birmingham new street,no railcard,23 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,18 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,adult,22 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,9 days
advance,standard,london paddington,reading,disabled,7 days
off-peak,standard,london kings cross,york,adult,0 days
off-peak,standard,london euston,birmingham new street,adult,0 days
advance,first class,london kings cross,york,no railcard,1 days
off-peak,standard,london euston,birmingham new street,adult,0 days
off-peak,standard,london kings cross,york,adult,0 days
off-peak,first class,london kings cross,york,adult,0 days
off-peak,first class,london paddington,reading,adult,0 days
off-peak,standard,london euston,birmingham new street,adult,0 days
advance,standard,york,edinburgh waverley,no railcard,1 days
off-peak,standard,london euston,birmingham new street,disabled,0 days
advance,standard,london kings cross,york,no railcard,19 days
off-peak,standard,london euston,birmingham new street,disabled,0 days
advance,standard,london euston,birmingham new street,no railcard,9 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,london euston,birmingham new street,no railcard,17 days
advance,standard,liverpool lime street,london euston,senior,1 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,first class,liverpool lime street,manchester piccadilly,adult,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,3 days
advance,standard,manchester piccadilly,london euston,senior,16 days
advance,first class,manchester piccadilly,liverpool lime street,senior,24 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,york,edinburgh,no railcard,17 days
advance,standard,manchester piccadilly,london paddington,no railcard,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,25 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,edinburgh waverley,london kings cross,no railcard,1 days
advance,first class,edinburgh waverley,london kings cross,no railcard,26 days
advance,standard,edinburgh waverley,london kings cross,no railcard,18 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,london paddington,reading,adult,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,8 days
advance,standard,london paddington,reading,no railcard,6 days
advance,standard,london paddington,reading,no railcard,7 days
off-peak,first class,london euston,manchester piccadilly,disabled,0 days
advance,standard,london st pancras,birmingham new street,no railcard,17 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
off-peak,standard,liverpool lime street,london euston,adult,0 days
off-peak,standard,manchester piccadilly,london euston,adult,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,first class,birmingham new street,coventry,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,14 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,birmingham new street,nuneaton,no railcard,0 days
off-peak,first class,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,9 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london kings cross,york,no railcard,14 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,standard,london euston,birmingham new street,adult,21 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,london euston,birmingham new street,disabled,4 days
advance,standard,london euston,birmingham new street,adult,26 days
advance,standard,manchester piccadilly,liverpool lime street,senior,12 days
advance,standard,london euston,birmingham new street,adult,7 days
advance,standard,london euston,birmingham new street,disabled,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,london euston,birmingham new street,disabled,20 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london euston,birmingham new street,disabled,1 days
advance,standard,london st pancras,birmingham new street,disabled,26 days
advance,standard,london euston,birmingham new street,disabled,18 days
advance,standard,london st pancras,leicester,adult,2 days
advance,standard,manchester piccadilly,liverpool lime street,adult,3 days
advance,standard,birmingham new street,manchester piccadilly,adult,22 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,london st pancras,leicester,adult,11 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,london euston,adult,15 days
advance,standard,manchester piccadilly,london kings cross,adult,7 days
advance,standard,manchester piccadilly,london euston,adult,9 days
advance,standard,liverpool lime street,london euston,adult,23 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,17 days
advance,standard,london st pancras,birmingham new street,disabled,9 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,16 days
advance,standard,london euston,birmingham new street,no railcard,26 days
off-peak,standard,london euston,manchester piccadilly,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,london euston,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days
advance,standard,london kings cross,york,no railcard,17 days
advance,standard,liverpool lime street,manchester piccadilly,senior,26 days
advance,standard,liverpool lime street,manchester piccadilly,adult,1 days
advance,standard,london st pancras,birmingham new street,no railcard,11 days
advance,standard,london st pancras,leicester,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,25 days
advance,standard,london euston,birmingham new street,no railcard,12 days
advance,standard,manchester piccadilly,liverpool lime street,senior,10 days
advance,standard,manchester piccadilly,liverpool lime street,senior,15 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,london st pancras,leicester,senior,1 days
advance,first class,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,4 days
advance,standard,london st pancras,birmingham new street,disabled,1 days
advance,standard,london st pancras,leicester,senior,1 days
advance,standard,london euston,birmingham new street,adult,19 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,15 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,10 days
advance,standard,london kings cross,york,no railcard,2 days
advance,standard,london euston,birmingham new street,adult,6 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days
advance,standard,london st pancras,birmingham new street,no railcard,25 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,13 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,reading,birmingham new street,no railcard,25 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,birmingham new street,liverpool lime street,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,8 days
advance,standard,birmingham new street,york,adult,1 days
advance,standard,london kings cross,york,adult,7 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,first class,london paddington,reading,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,24 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,london euston,no railcard,12 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,10 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,london paddington,reading,no railcard,21 days
advance,standard,london st pancras,birmingham new street,no railcard,22 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,12 days
advance,standard,liverpool lime street,crewe,senior,1 days
advance,standard,liverpool lime street,crewe,senior,6 days
advance,standard,birmingham new street,nuneaton,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,20 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,birmingham new street,nuneaton,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,21 days
advance,first class,london paddington,reading,senior,1 days
advance,standard,london kings cross,york,no railcard,24 days
advance,standard,birmingham new street,stafford,no railcard,12 days
advance,standard,london kings cross,york,no railcard,1 days
advance,first class,london kings cross,york,no railcard,5 days
advance,standard,london paddington,reading,senior,9 days
advance,standard,london st pancras,birmingham new street,no railcard,23 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,2 days
advance,standard,london st pancras,birmingham new street,no railcard,23 days
advance,standard,london st pancras,birmingham new street,no railcard,15 days
advance,first class,manchester piccadilly,liverpool lime street,no railcard,6 days
advance,standard,reading,swindon,no railcard,9 days
advance,standard,london st pancras,birmingham new street,no railcard,15 days
advance,standard,london kings cross,york,no railcard,11 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,standard,london euston,birmingham new street,adult,6 days
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,2 days
advance,standard,london euston,birmingham new street,no railcard,15 days
advance,standard,london euston,birmingham new street,no railcard,5 days
advance,standard,london euston,birmingham new street,no railcard,2 days
advance,standard,london euston,birmingham new street,adult,21 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
advance,standard,oxford,bristol temple meads,adult,12 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,3 days
advance,first class,london st pancras,birmingham new street,no railcard,24 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,18 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,8 days
advance,standard,birmingham new street,edinburgh,no railcard,17 days
advance,standard,london paddington,reading,no railcard,17 days
advance,standard,manchester piccadilly,liverpool lime street,disabled,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,first class,london euston,birmingham new street,no railcard,23 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,liverpool lime street,no railcard,1 days
advance,standard,london paddington,reading,no railcard,3 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,adult,17 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,3 days
advance,standard,london paddington,reading,no railcard,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
advance,standard,oxford,bristol temple meads,adult,2 days
off-peak,standard,oxford,bristol temple meads,adult,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,leeds,adult,1 days
off-peak,first class,london euston,birmingham new street,no railcard,0 days
advance,standard,london kings cross,edinburgh waverley,disabled,18 days
advance,standard,london kings cross,edinburgh waverley,disabled,6 days
advance,standard,london kings cross,edinburgh waverley,disabled,21 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,13 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,first class,london paddington,reading,no railcard,1 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,16 days
advance,first class,york,durham,disabled,1 days
advance,standard,york,durham,disabled,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,senior,21 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london euston,york,no railcard,1 days
advance,standard,birmingham new street,london st pancras,adult,8 days
advance,first class,london euston,birmingham new street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,25 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,17 days
off-peak,standard,london euston,birmingham new street,adult,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,first class,liverpool lime street,manchester piccadilly,disabled,1 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,16 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
advance,standard,london st pancras,birmingham new street,no railcard,8 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
off-peak,standard,london kings cross,liverpool lime street,adult,0 days
advance,standard,london euston,birmingham new street,no railcard,18 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,2 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,senior,2 days
advance,standard,london euston,birmingham new street,no railcard,5 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,6 days
advance,standard,london paddington,reading,disabled,24 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london paddington,reading,no railcard,5 days
off-peak,standard,birmingham new street,nuneaton,no railcard,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,birmingham new street,london st pancras,disabled,0 days
off-peak,standard,birmingham new street,stafford,no railcard,0 days
off-peak,first class,london euston,manchester piccadilly,no railcard,0 days
advance,standard,manchester piccadilly,london euston,no railcard,18 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,11 days
off-peak,standard,york,doncaster,disabled,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,birmingham new street,london st pancras,disabled,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,25 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,12 days
off-peak,standard,manchester piccadilly,liverpool lime street,adult,0 days
advance,first class,manchester piccadilly,liverpool lime street,no railcard,24 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,first class,london euston,birmingham new street,adult,1 days
off-peak,standard,birmingham new street,london st pancras,no railcard,0 days
advance,standard,london euston,birmingham new street,adult,14 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,15 days
off-peak,first class,london kings cross,york,no railcard,0 days
off-peak,first class,reading,swindon,no railcard,0 days
